frames,local,simple,no_epsilon_rnd,no_epsilon_z,normal
500.0,1704783244.1173656,1702776115.933304,1701636616.1205423,1701601197.2757654,1701524510.2864194
1000.0,1704783246.8198664,1702776118.4868045,1701636619.2050426,1701601199.5542638,1701524512.9389186
1500.0,1704783249.3468652,1702776121.2648048,1701636622.1475427,1701601201.971265,1701524515.4744177
2000.0,1704783251.955368,1702776123.8593068,1701636625.6155405,1701601204.5497637,1701524517.947419
2500.0,1704783254.3708668,1702776126.2248044,1701636628.879543,1701601206.7107642,1701524520.3869183
3000.0,1704783256.705866,1702776128.4848044,1701636632.0310419,1701601208.8297658,1701524522.6909199
3500.0,1704783259.0978665,1702776130.9503071,1701636635.90654,1701601210.8617635,1701524524.95742
4000.0,1704783261.621866,1702776133.2738066,1701636639.051042,1701601212.8782654,1701524527.2989187
4500.0,1704783264.096366,1702776135.5593052,1701636642.25304,1701601214.929764,1701524529.6759176
5000.0,1704783266.6483672,1702776137.8503056,1701636644.9875436,1701601216.989766,1701524532.1534195
5500.0,1704783269.9803648,1702776140.9518063,1701636648.852542,1701601219.9267638,1701524535.2964182
6000.0,1704783272.1503649,1702776143.2023065,1701636651.6955435,1701601222.1207633,1701524537.6419177
6500.0,1704783274.337866,1702776145.4403062,1701636654.477042,1701601224.7337666,1701524540.066418
7000.0,1704783276.5298653,1702776147.6728075,1701636657.277541,1701601227.362264,1701524542.4549193
7500.0,1704783278.699865,1702776149.9473064,1701636660.0700457,1701601229.7587671,1701524544.9329193
8000.0,1704783280.872865,1702776152.1933064,1701636662.8975432,1701601232.2357645,1701524547.2329192
8500.0,1704783283.1198668,1702776154.518304,1701636665.6875422,1701601234.767765,1701524549.4899178
9000.0,1704783285.2988648,1702776156.7538042,1701636668.3420415,1701601237.1802638,1701524551.7899172
9500.0,1704783287.455866,1702776159.0198045,1701636671.0460432,1701601239.7427635,1701524554.1294174
10000.0,1704783289.6123688,1702776161.2678072,1701636673.7215438,1701601242.4472673,1701524556.467418
10500.0,1704783292.7028656,1702776164.275306,1701636677.31304,1701601245.8642638,1701524559.70042
11000.0,1704783294.9288661,1702776166.5128045,1701636680.0915415,1701601248.2562635,1701524562.1499176
11500.0,1704783297.0553653,1702776168.9143066,1701636683.023041,1701601250.5542638,1701524564.4119177
12000.0,1704783299.222365,1702776171.268304,1701636685.862542,1701601252.8182638,1701524566.7454214
12500.0,1704783301.3768668,1702776173.5253043,1701636688.7135437,1701601255.0617652,1701524569.009418
13000.0,1704783303.4713645,1702776175.7558064,1701636691.437542,1701601257.2722657,1701524571.2664177
13500.0,1704783305.5883648,1702776178.127306,1701636694.2640429,1701601259.4757638,1701524573.4889178
14000.0,1704783307.7393658,1702776180.383305,1701636696.9380417,1701601261.6112638,1701524575.833419
14500.0,1704783309.854366,1702776182.6888044,1701636699.709543,1701601263.7562635,1701524578.121919
15000.0,1704783311.9703655,1702776184.9098065,1701636702.5380416,1701601265.8632636,1701524580.3759193
15500.0,1704783314.8418665,1702776187.900306,1701636706.2080436,1701601268.7527661,1701524583.3709197
16000.0,1704783316.9973662,1702776190.1298053,1701636708.832543,1701601270.8357654,1701524585.673419
16500.0,1704783319.147865,1702776192.3603055,1701636711.727542,1701601272.9697652,1701524587.9464176
17000.0,1704783321.2703645,1702776194.5783055,1701636715.368042,1701601275.0532637,1701524590.2804172
17500.0,1704783323.4328647,1702776196.8533065,1701636718.832041,1701601277.149781,1701524592.7124183
18000.0,1704783325.5633671,1702776199.082817,1701636722.2875438,1701601279.252765,1701524594.9529173
18500.0,1704783327.720365,1702776201.3028045,1701636725.4160428,1701601281.3122637,1701524597.293919
19000.0,1704783329.8708646,1702776203.541804,1701636728.844042,1701601283.459267,1701524599.6484175
19500.0,1704783332.040866,1702776205.8063066,1701636731.8465438,1701601285.5852637,1701524602.0529182
20000.0,1704783334.1553664,1702776208.056806,1701636734.5945432,1701601287.7117639,1701524604.3739183
20500.0,1704783337.0333645,1702776211.0738056,1701636738.211043,1701601290.5612636,1701524607.6059191
21000.0,1704783339.1448648,1702776213.2663069,1701636741.011542,1701601292.678264,1701524610.0074186
21500.0,1704783341.2333658,1702776215.5058067,1701636743.8125422,1701601294.8117657,1701524612.2754192
22000.0,1704783343.365365,1702776217.7193053,1701636746.5035405,1701601296.920764,1701524614.5419195
22500.0,1704783345.5138648,1702776219.9123075,1701636749.3195431,1701601299.0122652,1701524616.847919
23000.0,1704783347.6358674,1702776222.1353047,1701636752.2035427,1701601301.0872648,1701524619.1329181
23500.0,1704783349.7268648,1702776224.3298047,1701636755.1205418,1701601303.178264,1701524621.50342
24000.0,1704783351.8678665,1702776226.530304,1701636758.159543,1701601305.3677638,1701524623.9119189
24500.0,1704783354.0123653,1702776228.7873063,1701636760.898541,1701601307.565264,1701524626.2074194
25000.0,1704783356.2048645,1702776231.1288044,1701636763.759041,1701601309.7052636,1701524628.5279198
25500.0,1704783359.1628652,1702776234.1423042,1701636767.7195427,1701601312.6207633,1701524631.6344178
26000.0,1704783361.325867,1702776236.4843073,1701636770.4500415,1701601314.7087636,1701524633.9739194
26500.0,1704783363.4493647,1702776238.808807,1701636773.2450433,1701601316.8417635,1701524636.2734196
27000.0,1704783365.5713663,1702776241.309306,1701636775.9735434,1701601318.9437654,1701524638.6729193
27500.0,1704783367.678865,1702776243.8343062,1701636778.7370398,1701601321.0857637,1701524641.2559173
28000.0,1704783369.788365,1702776246.3303046,1701636781.5565412,1701601323.2317655,1701524644.3694203
28500.0,1704783371.9093673,1702776248.7333066,1701636784.4715412,1701601325.3387637,1701524647.1314197
29000.0,1704783374.0473661,1702776250.9423053,1701636787.2235427,1701601327.4322634,1701524650.5739174
29500.0,1704783376.2188659,1702776253.1598082,1701636790.0455432,1701601329.5632653,1701524652.8704176
30000.0,1704783378.378365,1702776255.4823086,1701636792.8400428,1701601331.7152636,1701524655.2134194
30500.0,1704783381.2653668,1702776258.5423045,1701636796.5540435,1701601334.6442642,1701524658.3759193
31000.0,1704783383.4113648,1702776260.7693067,1701636799.2155402,1701601336.7632651,1701524660.6429174
31500.0,1704783385.5923648,1702776263.0348063,1701636801.9371135,1701601338.9242651,1701524663.0229177
32000.0,1704783387.7578688,1702776265.245305,1701636804.670542,1701601341.0782638,1701524665.2964187
32500.0,1704783389.8998647,1702776267.5033042,1701636808.4575434,1701601343.227265,1701524667.7429197
33000.0,1704783392.045365,1702776269.710805,1701636812.0475423,1701601345.3442638,1701524670.116918
33500.0,1704783394.211865,1702776271.900804,1701636815.783044,1701601347.439265,1701524672.455419
34000.0,1704783396.4093661,1702776274.1713052,1701636819.4555435,1701601349.7192652,1701524674.8304174
34500.0,1704783398.5338647,1702776276.4833057,1701636822.8130429,1701601351.8952634,1701524677.0459182
35000.0,1704783400.6728656,1702776278.6528072,1701636826.0435433,1701601354.0617638,1701524679.4624174
35500.0,1704783403.5723648,1702776281.598304,1701636830.199044,1701601356.975266,1701524682.4919176
36000.0,1704783405.7043648,1702776283.815804,1701636833.4365444,1701601359.1712637,1701524684.7079175
36500.0,1704783407.9013646,1702776286.0338066,1701636836.4450426,1701601361.3212636,1701524687.8724194
37000.0,1704783410.044366,1702776288.2388082,1701636839.598042,1701601363.5237634,1701524690.7709184
37500.0,1704783412.2053657,1702776290.4543061,1701636842.7750468,1701601365.6607637,1701524692.987919
38000.0,1704783414.3368661,1702776292.932805,1701636846.012045,1701601367.7702656,1701524695.1999173
38500.0,1704783416.447867,1702776295.1833057,1701636849.173543,1701601369.883264,1701524697.5559173
39000.0,1704783418.5813644,1702776297.3908055,1701636852.3535435,1701601372.0102663,1701524700.5414171
39500.0,1704783420.7298646,1702776299.6478066,1701636855.5800426,1701601374.2292635,1701524703.0849197
40000.0,1704783422.906865,1702776301.9928079,1701636858.765543,1701601376.4557633,1701524705.9434173
40500.0,1704783425.948365,1702776305.1068044,1701636863.0835423,1701601379.4012666,1701524709.6599176
41000.0,1704783428.1208675,1702776307.336807,1701636866.382043,1701601381.6562634,1701524712.3294203
41500.0,1704783430.2843657,1702776309.604806,1701636869.7145424,1701601383.9432638,1701524714.9184203
42000.0,1704783432.4888651,1702776311.8318067,1701636872.8745422,1701601386.3477647,1701524717.5039191
42500.0,1704783434.6363661,1702776314.0723078,1701636875.887044,1701601388.6202636,1701524719.8479176
43000.0,1704783436.8033648,1702776316.4903064,1701636879.1745436,1701601390.8017635,1701524722.3094175
43500.0,1704783438.9563665,1702776319.0043044,1701636882.7010424,1701601393.1427636,1701524724.613919
44000.0,1704783441.0748663,1702776321.200808,1701636885.954041,1701601395.4137635,1701524726.8729172
44500.0,1704783443.2118645,1702776323.3173065,1701636889.2870424,1701601397.7237637,1701524729.263417
45000.0,1704783445.3088663,1702776325.4108055,1701636892.4240444,1701601399.9507637,1701524731.7944193
45500.0,1704783448.231865,1702776328.2703066,1701636896.6995435,1701601403.038766,1701524735.1449199
46000.0,1704783450.3668647,1702776330.3818038,1701636900.2150426,1701601405.2702634,1701524738.0889182
46500.0,1704783452.4483647,1702776332.4903069,1701636903.3975425,1701601407.5322638,1701524740.4674199
47000.0,1704783454.553366,1702776334.5638056,1701636906.7050428,1701601409.789765,1701524743.0419188
47500.0,1704783456.6998646,1702776336.646304,1701636909.943043,1701601411.9687636,1701524745.3324172
48000.0,1704783458.8473663,1702776338.6723082,1701636913.1565423,1701601414.0857637,1701524747.7039177
48500.0,1704783460.9538648,1702776340.7558057,1701636916.5535407,1701601416.2032638,1701524750.092918
49000.0,1704783463.0678647,1702776342.8053045,1701636919.7585437,1701601418.3827636,1701524752.5784202
49500.0,1704783465.1928654,1702776344.8913064,1701636923.0530424,1701601420.5352662,1701524754.8844178
50000.0,1704783467.3243651,1702776346.9833064,1701636926.1700423,1701601422.7222636,1701524757.2169201
50500.0,1704783470.217366,1702776349.786304,1701636930.3010428,1701601425.6267636,1701524760.5309174
51000.0,1704783472.3383665,1702776351.8168042,1701636933.7065434,1701601427.7562644,1701524762.7884188
51500.0,1704783474.4843655,1702776353.8633065,1701636936.8760428,1701601429.942763,1701524765.0129192
52000.0,1704783476.6288652,1702776355.9133043,1701636940.1510434,1701601432.1627657,1701524767.3014185
52500.0,1704783478.7378664,1702776357.9588065,1701636943.4145417,1701601434.3532646,1701524769.6389198
53000.0,1704783480.9213665,1702776359.9998064,1701636946.6760406,1701601436.5167658,1701524771.8844182
53500.0,1704783483.0813677,1702776362.046304,1701636950.070542,1701601438.7377658,1701524774.166419
54000.0,1704783485.2178648,1702776364.0748067,1701636953.2615423,1701601441.014265,1701524776.3829186
54500.0,1704783487.3543646,1702776366.2048063,1701636956.4740434,1701601443.234765,1701524778.6654184
55000.0,1704783489.5893676,1702776368.3908057,1701636959.6610415,1701601445.460764,1701524780.8929172
55500.0,1704783492.592866,1702776371.2368073,1701636964.031043,1701601448.3262646,1701524784.0314188
56000.0,1704783494.7493644,1702776373.311804,1701636967.2725434,1701601450.5432634,1701524786.54392
56500.0,1704783496.8783677,1702776375.3498065,1701636970.4865434,1701601452.6927638,1701524789.028419
57000.0,1704783499.0393648,1702776377.4293044,1701636973.9600403,1701601454.8512635,1701524791.549918
57500.0,1704783501.1583652,1702776379.4768064,1701636977.2200427,1701601456.9977665,1701524793.8894174
58000.0,1704783503.273368,1702776381.5448074,1701636980.7645411,1701601459.1432636,1701524796.1979191
58500.0,1704783505.4318662,1702776383.6458037,1701636984.0970414,1701601461.2812636,1701524798.6034174
59000.0,1704783507.564365,1702776385.686305,1701636987.3285425,1701601463.428264,1701524800.9474175
59500.0,1704783509.7163677,1702776387.7698061,1701636990.587043,1701601465.5332637,1701524803.1439173
60000.0,1704783511.842865,1702776389.830305,1701636993.672043,1701601467.6262636,1701524805.3779175
60500.0,1704783514.7183647,1702776392.6273048,1701636997.7245424,1701601470.5177636,1701524808.414919
61000.0,1704783516.8738673,1702776394.748304,1701637001.0025427,1701601472.656765,1701524810.653917
61500.0,1704783519.0098653,1702776396.8138041,1701637004.1535435,1701601474.7952662,1701524812.8764184
62000.0,1704783521.1793668,1702776398.900804,1701637007.4535427,1701601476.9182665,1701524815.1449177
62500.0,1704783523.3088648,1702776400.976304,1701637010.7260435,1701601479.0372653,1701524817.5049193
63000.0,1704783525.4603658,1702776403.0713074,1701637014.116543,1701601481.1987636,1701524819.778917
63500.0,1704783527.6793647,1702776405.1543078,1701637017.4005432,1701601483.3477633,1701524821.977918
64000.0,1704783529.8213663,1702776407.190306,1701637020.9150434,1701601485.4492636,1701524824.198419
64500.0,1704783531.9553664,1702776409.243304,1701637024.2100437,1701601487.6007633,1701524826.4480004
65000.0,1704783534.0953648,1702776411.3028078,1701637027.460043,1701601489.6887634,1701524828.6699188
65500.0,1704783536.8968668,1702776414.0738053,1701637031.6395426,1701601492.5247633,1701524831.7769175
66000.0,1704783539.0478654,1702776416.1098044,1701637034.876543,1701601494.5967636,1701524834.0804195
66500.0,1704783541.2218666,1702776418.127804,1701637038.1025436,1701601496.7157638,1701524836.2904177
67000.0,1704783543.471865,1702776420.149805,1701637041.464043,1701601498.8262637,1701524838.4919178
67500.0,1704783545.6363647,1702776422.188306,1701637044.445544,1701601500.9427657,1701524840.7389195
68000.0,1704783547.797867,1702776424.2408035,1701637047.7050407,1701601503.0692654,1701524842.9414175
68500.0,1704783549.8953648,1702776426.271807,1701637050.8885427,1701601505.2412634,1701524845.1504192
69000.0,1704783552.0163648,1702776428.3303063,1701637054.1165407,1701601507.4927638,1701524847.5069177
69500.0,1704783554.186365,1702776430.4033077,1701637057.4040427,1701601509.6642666,1701524849.8259182
70000.0,1704783556.4553654,1702776432.5618038,1701637060.6685436,1701601511.7862635,1701524852.0464175
70500.0,1704783559.442865,1702776435.4313078,1701637064.9825437,1701601514.6862636,1701524855.0859172
71000.0,1704783561.5828652,1702776437.5238056,1701637068.295042,1701601516.7857635,1701524857.3244176
71500.0,1704783563.7003672,1702776439.6413074,1701637071.5295427,1701601518.8772635,1701524859.5904176
72000.0,1704783565.7873664,1702776441.775306,1701637074.7130413,1701601520.9937663,1701524861.9624193
72500.0,1704783567.9248652,1702776443.862806,1701637078.032043,1701601523.1072636,1701524864.3484187
73000.0,1704783570.0363657,1702776445.941804,1701637081.4630406,1701601525.2312634,1701524866.6064174
73500.0,1704783572.1473649,1702776447.9988039,1701637084.6910434,1701601527.3912647,1701524868.7834177
74000.0,1704783574.2583678,1702776450.053306,1701637088.156042,1701601529.4947636,1701524871.0044184
74500.0,1704783576.3663673,1702776452.1348073,1701637091.755043,1701601531.6122658,1701524873.2524176
75000.0,1704783578.465867,1702776454.2768068,1701637095.0945427,1701601533.741766,1701524875.4494185
75500.0,1704783581.325865,1702776457.19231,1701637099.5530436,1701601536.6427636,1701524878.4889176
76000.0,1704783583.4558668,1702776459.2633061,1701637102.7725425,1701601538.927765,1701524880.8994172
76500.0,1704783585.598365,1702776461.2968066,1701637106.1075428,1701601541.474266,1701524883.153919
77000.0,1704783587.7613664,1702776463.3883038,1701637109.3315432,1701601544.0082662,1701524885.3949175
77500.0,1704783589.897367,1702776465.4633067,1701637112.5365434,1701601546.4457638,1701524887.6074173
78000.0,1704783592.0128658,1702776467.5018055,1701637115.745044,1701601548.7392638,1701524889.8919342
78500.0,1704783594.1333673,1702776469.560807,1701637118.9610431,1701601550.9857655,1701524892.1649175
79000.0,1704783596.2468662,1702776471.6288044,1701637122.2850432,1701601553.1927636,1701524894.3739192
79500.0,1704783598.3763669,1702776473.7118073,1701637125.341043,1701601555.448264,1701524896.676918
80000.0,1704783600.4853663,1702776475.7833066,1701637128.263541,1701601557.660764,1701524898.8799179
80500.0,1704783603.4018648,1702776478.615304,1701637132.304042,1701601560.6552663,1701524901.882934
81000.0,1704783605.5463665,1702776480.6583045,1701637135.4420402,1701601562.8557634,1701524904.1264174
81500.0,1704783607.6598666,1702776482.7383056,1701637138.5475438,1701601564.974264,1701524906.3729177
82000.0,1704783609.7933662,1702776484.8093066,1701637141.752543,1701601567.1022635,1701524908.6619174
82500.0,1704783611.9053648,1702776486.8388066,1701637145.0750425,1701601569.2502635,1701524910.9249184
83000.0,1704783614.0223649,1702776488.8958042,1701637148.5475433,1701601571.4492636,1701524913.2429173
83500.0,1704783616.1243646,1702776490.939804,1701637151.8005428,1701601573.6822658,1701524915.468918
84000.0,1704783618.263366,1702776492.988304,1701637155.1035438,1701601575.8297637,1701524917.6494176
84500.0,1704783620.5603652,1702776495.071807,1701637158.3505414,1701601577.9492636,1701524919.8764174
85000.0,1704783622.789365,1702776497.1618075,1701637161.5800438,1701601580.0852654,1701524922.0994182
85500.0,1704783625.6268647,1702776500.0798059,1701637166.128543,1701601582.8892636,1701524925.0599203
86000.0,1704783627.7428663,1702776502.2283065,1701637169.5145416,1701601584.9867635,1701524927.5144203
86500.0,1704783629.8558645,1702776504.2908072,1701637172.9630425,1701601587.0977635,1701524929.835419
87000.0,1704783631.991865,1702776506.3118064,1701637176.1795406,1701601589.176765,1701524932.040918
87500.0,1704783634.1283658,1702776508.3718064,1701637179.4345424,1701601591.299766,1701524934.2269177
88000.0,1704783636.272865,1702776510.4303057,1701637182.8025408,1701601593.4422653,1701524936.4494178
88500.0,1704783638.3823645,1702776512.4928062,1701637186.0835433,1701601595.5472658,1701524938.6529179
89000.0,1704783640.4848664,1702776514.5363064,1701637189.2630448,1701601597.6872654,1701524940.9594178
89500.0,1704783642.6098652,1702776516.6313043,1701637192.615042,1701601599.7922637,1701524943.2339177
90000.0,1704783644.7358649,1702776518.6643076,1701637195.8135426,1701601601.8857634,1701524945.5334175
90500.0,1704783647.691365,1702776521.4858074,1701637200.0531287,1701601604.7697635,1701524948.5829184
91000.0,1704783649.8268645,1702776523.598805,1701637203.311543,1701601606.9507635,1701524950.819417
91500.0,1704783651.9688656,1702776525.657306,1701637206.633544,1701601609.0487654,1701524953.0649188
92000.0,1704783654.0903652,1702776527.7863066,1701637209.9820445,1701601611.1412637,1701524955.3069177
92500.0,1704783656.2013645,1702776529.847304,1701637213.4275424,1701601613.2747638,1701524957.5284176
93000.0,1704783658.3158674,1702776531.8898084,1701637216.7130444,1701601615.3557637,1701524959.8494174
93500.0,1704783660.4573655,1702776533.9323046,1701637220.0875423,1701601617.4767668,1701524962.460418
94000.0,1704783662.5913646,1702776535.978805,1701637223.399042,1701601619.5752635,1701524964.9254203
94500.0,1704783664.6903682,1702776538.0523076,1701637226.540543,1701601621.7332656,1701524967.2824173
95000.0,1704783666.7733645,1702776540.1123042,1701637229.871541,1701601623.8117652,1701524969.6369193
95500.0,1704783669.6463664,1702776542.8833065,1701637234.0585434,1701601626.6662633,1701524972.7704175
