frames,local,simple,no_epsilon_rnd,no_epsilon_z,normal
500.0,0,1,1,0,1
1000.0,1,0,1,1,0
1500.0,2,0,0,0,2
2000.0,1,2,1,1,0
2500.0,3,1,0,1,3
3000.0,1,2,0,0,2
3500.0,2,2,0,2,1
4000.0,2,2,2,2,3
4500.0,2,2,0,0,1
5000.0,1,3,1,1,2
5500.0,2,0,0,0,2
6000.0,0,1,2,0,3
6500.0,3,3,2,1,3
7000.0,0,1,0,0,3
7500.0,1,3,1,2,0
8000.0,2,1,0,0,0
8500.0,2,2,1,0,0
9000.0,2,0,0,1,2
9500.0,2,0,0,2,0
10000.0,1,3,1,0,1
10500.0,0,2,0,1,3
11000.0,3,0,2,1,3
11500.0,2,0,0,2,2
12000.0,2,3,0,0,0
12500.0,1,2,2,1,2
13000.0,0,0,0,2,3
13500.0,3,2,0,1,2
14000.0,0,0,1,2,0
14500.0,1,3,0,2,0
15000.0,1,2,0,0,2
15500.0,0,2,1,1,1
16000.0,0,2,0,1,2
16500.0,3,1,2,0,1
17000.0,0,0,1,0,2
17500.0,3,1,1,2,3
18000.0,2,1,1,0,0
18500.0,1,2,0,1,3
19000.0,0,1,2,1,2
19500.0,2,0,1,2,2
20000.0,0,3,1,0,0
20500.0,0,1,0,0,3
21000.0,2,1,1,1,3
21500.0,1,3,2,0,2
22000.0,0,2,2,2,3
22500.0,0,1,1,0,2
23000.0,2,2,1,2,3
23500.0,2,0,1,2,3
24000.0,3,2,1,1,3
24500.0,2,3,1,1,0
25000.0,1,3,1,2,0
25500.0,3,2,1,1,2
26000.0,3,0,0,2,1
26500.0,3,1,2,2,2
27000.0,0,2,2,2,3
27500.0,1,3,2,2,2
28000.0,2,2,0,2,2
28500.0,0,3,0,1,2
29000.0,1,0,0,1,3
29500.0,3,1,1,2,1
30000.0,1,3,0,2,2
30500.0,0,0,0,2,0
31000.0,0,1,2,0,1
31500.0,2,0,1,1,1
32000.0,0,2,2,1,0
32500.0,0,1,0,2,2
33000.0,0,3,0,1,2
33500.0,3,3,2,2,0
34000.0,2,0,1,1,1
34500.0,1,1,2,1,1
35000.0,2,3,2,0,3
35500.0,1,2,2,2,0
36000.0,2,1,2,1,3
36500.0,3,0,0,1,1
37000.0,1,0,0,0,3
37500.0,2,2,1,2,0
38000.0,3,0,2,0,2
38500.0,2,3,1,2,2
39000.0,2,3,1,0,2
39500.0,2,0,1,2,1
40000.0,2,3,0,2,0
40500.0,3,3,0,2,1
41000.0,3,3,0,0,1
41500.0,1,1,1,0,3
42000.0,2,1,1,2,0
42500.0,0,1,0,0,3
43000.0,1,1,2,2,3
43500.0,2,3,0,1,3
