frames,local,simple,no_epsilon_rnd,no_epsilon_z,normal
500.0,14,14,16,14,14
1000.0,16,16,19,16,16
1500.0,19,19,22,18,19
2000.0,21,22,26,21,21
2500.0,24,24,29,23,24
3000.0,26,26,32,25,26
3500.0,29,29,36,27,28
4000.0,31,31,39,29,31
4500.0,34,33,42,31,33
5000.0,36,36,45,33,36
5500.0,39,39,49,36,39
6000.0,42,41,52,39,41
6500.0,44,43,55,41,43
7000.0,46,45,57,44,46
7500.0,48,48,60,46,48
8000.0,50,50,63,49,51
8500.0,53,52,66,51,53
9000.0,55,54,68,54,55
9500.0,57,57,71,56,58
10000.0,59,59,74,59,60
10500.0,62,62,77,62,63
11000.0,64,64,80,65,66
11500.0,66,67,83,67,68
12000.0,69,69,86,69,70
12500.0,71,71,89,72,72
13000.0,73,73,92,74,75
13500.0,75,76,94,76,77
14000.0,77,78,97,78,79
14500.0,79,80,100,80,81
15000.0,81,83,103,82,84
15500.0,84,86,106,85,87
16000.0,86,88,109,87,89
16500.0,89,90,112,89,91
17000.0,91,92,116,92,94
17500.0,93,95,119,94,96
18000.0,95,97,122,96,98
18500.0,97,99,126,98,101
19000.0,99,101,129,100,103
19500.0,101,104,132,102,105
20000.0,104,106,135,104,108
20500.0,106,109,138,107,111
21000.0,109,111,141,109,113
21500.0,111,113,144,111,116
22000.0,113,115,147,113,118
22500.0,115,118,149,116,120
23000.0,117,120,152,118,123
23500.0,119,122,155,120,125
24000.0,121,124,158,122,127
24500.0,123,126,161,124,130
25000.0,126,129,164,126,132
25500.0,129,132,168,129,135
26000.0,131,134,171,131,137
26500.0,133,137,173,133,140
27000.0,135,139,176,135,142
27500.0,137,142,179,138,145
28000.0,139,144,182,140,148
28500.0,141,146,185,142,151
29000.0,143,149,187,144,154
29500.0,146,151,190,146,156
30000.0,148,153,193,148,159
30500.0,151,156,197,151,162
31000.0,153,158,199,153,164
31500.0,155,161,202,155,166
32000.0,157,163,205,158,169
32500.0,159,165,209,160,171
33000.0,161,167,212,162,173
33500.0,164,170,216,164,176
34000.0,166,172,220,166,178
34500.0,168,174,223,168,180
35000.0,170,176,226,171,183
35500.0,173,179,230,173,186
36000.0,175,182,234,176,188
36500.0,177,184,237,178,191
37000.0,179,186,240,180,194
37500.0,182,188,243,182,196
38000.0,184,191,246,184,199
38500.0,186,193,249,186,201
39000.0,188,195,252,189,204
39500.0,190,197,256,191,206
40000.0,192,200,259,193,209
40500.0,195,203,263,196,213
41000.0,198,205,267,198,216
41500.0,200,207,270,200,218
42000.0,202,210,273,203,221
42500.0,204,212,276,205,223
43000.0,206,214,279,207,226
43500.0,208,217,283,210,228
44000.0,210,219,286,212,230
44500.0,213,221,289,214,233
45000.0,215,223,293,216,235
45500.0,218,226,297,220,239
46000.0,220,228,300,222,241
46500.0,222,230,304,224,244
47000.0,224,232,307,226,246
47500.0,226,234,310,228,249
48000.0,228,236,313,231,251
48500.0,230,238,317,233,253
49000.0,232,241,320,235,256
49500.0,235,243,323,237,258
50000.0,237,245,326,239,261
50500.0,240,247,330,242,264
51000.0,242,250,334,244,266
51500.0,244,252,337,246,268
52000.0,246,254,340,249,271
52500.0,248,256,344,251,273
53000.0,250,258,347,253,275
53500.0,252,260,350,255,278
54000.0,255,262,353,258,280
54500.0,257,264,357,260,282
55000.0,259,266,360,262,284
55500.0,262,269,364,265,287
56000.0,264,271,367,267,290
56500.0,266,273,371,269,292
57000.0,268,275,374,271,295
57500.0,271,277,377,274,297
58000.0,273,279,381,276,300
58500.0,275,281,384,278,302
59000.0,277,283,387,280,304
59500.0,279,285,391,282,307
60000.0,281,288,394,284,309
60500.0,284,290,398,287,312
61000.0,286,292,401,289,314
61500.0,288,295,404,291,316
62000.0,291,297,408,293,319
62500.0,293,299,411,296,321
63000.0,295,301,414,298,323
63500.0,297,303,418,300,325
64000.0,299,305,421,302,328
64500.0,301,307,424,304,330
65000.0,304,309,428,306,332
65500.0,306,312,432,309,335
66000.0,308,314,435,311,337
66500.0,311,316,438,313,340
67000.0,313,318,442,315,342
67500.0,315,320,445,317,344
68000.0,317,322,448,320,346
68500.0,319,324,451,322,349
69000.0,321,326,454,324,351
69500.0,324,328,458,326,353
70000.0,326,330,461,328,355
70500.0,329,333,465,331,358
71000.0,331,335,468,333,361
71500.0,333,337,472,335,363
72000.0,335,339,475,337,365
72500.0,337,342,478,340,368
73000.0,339,344,482,342,370
73500.0,342,346,485,344,372
74000.0,344,348,488,346,374
74500.0,346,350,492,348,377
75000.0,348,352,495,350,379
75500.0,351,355,500,353,382
76000.0,353,357,503,355,384
76500.0,355,359,506,358,387
77000.0,357,361,509,361,389
77500.0,359,363,513,363,391
78000.0,361,365,516,365,393
78500.0,364,367,519,367,396
79000.0,366,369,522,370,398
79500.0,368,371,525,372,400
80000.0,370,373,528,374,402
80500.0,373,376,532,377,405
81000.0,375,378,536,379,408
81500.0,377,380,539,381,410
82000.0,379,383,542,384,412
82500.0,381,385,545,386,414
83000.0,383,387,549,388,417
83500.0,386,389,552,390,419
84000.0,388,391,555,392,421
84500.0,390,393,558,394,423
85000.0,392,395,562,397,425
85500.0,395,398,566,399,428
86000.0,397,400,570,401,431
86500.0,399,402,573,404,433
87000.0,401,404,576,406,435
