frames,local,simple,no_epsilon_rnd,no_epsilon_z,normal
500.0,5,5,5,5,5
1000.0,10,10,10,10,10
1500.0,15,15,15,15,15
2000.0,20,20,20,20,20
2500.0,25,25,25,25,25
3000.0,30,30,30,30,30
3500.0,35,35,35,35,35
4000.0,40,40,40,40,40
4500.0,45,45,45,45,45
5000.0,50,50,50,50,50
5500.0,55,55,55,55,55
6000.0,60,60,60,60,60
6500.0,65,65,65,65,65
7000.0,70,70,70,70,70
7500.0,75,75,75,75,75
8000.0,80,80,80,80,80
8500.0,85,85,85,85,85
9000.0,90,90,90,90,90
9500.0,95,95,95,95,95
10000.0,100,100,100,100,100
10500.0,105,105,105,105,105
11000.0,110,110,110,110,110
11500.0,115,115,115,115,115
12000.0,120,120,120,120,120
12500.0,125,125,125,125,125
13000.0,130,130,130,130,130
13500.0,135,135,135,135,135
14000.0,140,140,140,140,140
14500.0,145,145,145,145,145
15000.0,150,150,150,150,150
15500.0,155,155,155,155,155
16000.0,160,160,160,160,160
16500.0,165,165,165,165,165
17000.0,170,170,170,170,170
17500.0,175,175,175,175,175
18000.0,180,180,180,180,180
18500.0,185,185,185,185,185
19000.0,190,190,190,190,190
19500.0,195,195,195,195,195
20000.0,200,200,200,200,200
20500.0,205,205,205,205,205
21000.0,210,210,210,210,210
21500.0,215,215,215,215,215
22000.0,220,220,220,220,220
22500.0,225,225,225,225,225
23000.0,230,230,230,230,230
23500.0,235,235,235,235,235
24000.0,240,240,240,240,240
24500.0,245,245,245,245,245
25000.0,250,250,250,250,250
25500.0,255,255,255,255,255
26000.0,260,260,260,260,260
26500.0,265,265,265,265,265
27000.0,270,270,270,270,270
27500.0,275,275,275,275,275
28000.0,280,280,280,280,280
28500.0,285,285,285,285,285
29000.0,290,290,290,290,290
29500.0,295,295,295,295,295
30000.0,300,300,300,300,300
30500.0,305,305,305,305,305
31000.0,310,310,310,310,310
31500.0,315,315,315,315,315
32000.0,320,320,320,320,320
32500.0,325,325,325,325,325
33000.0,330,330,330,330,330
33500.0,335,335,335,335,335
34000.0,340,340,340,340,340
34500.0,345,345,345,345,345
35000.0,350,350,350,350,350
35500.0,355,355,355,355,355
36000.0,360,360,360,360,360
36500.0,365,365,365,365,365
37000.0,370,370,370,370,370
37500.0,375,375,375,375,375
38000.0,380,380,380,380,380
38500.0,385,385,385,385,385
39000.0,390,390,390,390,390
39500.0,395,395,395,395,395
40000.0,400,400,400,400,400
40500.0,405,405,405,405,405
41000.0,410,410,410,410,410
41500.0,415,415,415,415,415
42000.0,420,420,420,420,420
42500.0,425,425,425,425,425
43000.0,430,430,430,430,430
43500.0,435,435,435,435,435
44000.0,440,440,440,440,440
44500.0,445,445,445,445,445
45000.0,450,450,450,450,450
45500.0,455,455,455,455,455
46000.0,460,460,460,460,460
46500.0,465,465,465,465,465
47000.0,470,470,470,470,470
47500.0,475,475,475,475,475
48000.0,480,480,480,480,480
48500.0,485,485,485,485,485
49000.0,490,490,490,490,490
49500.0,495,495,495,495,495
50000.0,500,500,500,500,500
50500.0,505,505,505,505,505
51000.0,510,510,510,510,510
51500.0,515,515,515,515,515
52000.0,520,520,520,520,520
52500.0,525,525,525,525,525
53000.0,530,530,530,530,530
53500.0,535,535,535,535,535
54000.0,540,540,540,540,540
54500.0,545,545,545,545,545
55000.0,550,550,550,550,550
55500.0,555,555,555,555,555
56000.0,560,560,560,560,560
56500.0,565,565,565,565,565
57000.0,570,570,570,570,570
57500.0,575,575,575,575,575
58000.0,580,580,580,580,580
58500.0,585,585,585,585,585
59000.0,590,590,590,590,590
59500.0,595,595,595,595,595
60000.0,600,600,600,600,600
60500.0,605,605,605,605,605
61000.0,610,610,610,610,610
61500.0,615,615,615,615,615
62000.0,620,620,620,620,620
62500.0,625,625,625,625,625
63000.0,630,630,630,630,630
63500.0,635,635,635,635,635
64000.0,640,640,640,640,640
64500.0,645,645,645,645,645
65000.0,650,650,650,650,650
65500.0,655,655,655,655,655
66000.0,660,660,660,660,660
66500.0,665,665,665,665,665
67000.0,670,670,670,670,670
67500.0,675,675,675,675,675
68000.0,680,680,680,680,680
68500.0,685,685,685,685,685
69000.0,690,690,690,690,690
69500.0,695,695,695,695,695
70000.0,700,700,700,700,700
70500.0,705,705,705,705,705
71000.0,710,710,710,710,710
71500.0,715,715,715,715,715
72000.0,720,720,720,720,720
72500.0,725,725,725,725,725
73000.0,730,730,730,730,730
73500.0,735,735,735,735,735
74000.0,740,740,740,740,740
74500.0,745,745,745,745,745
75000.0,750,750,750,750,750
75500.0,755,755,755,755,755
76000.0,760,760,760,760,760
76500.0,765,765,765,765,765
77000.0,770,770,770,770,770
77500.0,775,775,775,775,775
78000.0,780,780,780,780,780
78500.0,785,785,785,785,785
79000.0,790,790,790,790,790
79500.0,795,795,795,795,795
80000.0,800,800,800,800,800
80500.0,805,805,805,805,805
81000.0,810,810,810,810,810
81500.0,815,815,815,815,815
82000.0,820,820,820,820,820
82500.0,825,825,825,825,825
83000.0,830,830,830,830,830
83500.0,835,835,835,835,835
84000.0,840,840,840,840,840
84500.0,845,845,845,845,845
85000.0,850,850,850,850,850
85500.0,855,855,855,855,855
86000.0,860,860,860,860,860
86500.0,865,865,865,865,865
87000.0,870,870,870,870,870
87500.0,875,875,875,875,875
88000.0,880,880,880,880,880
88500.0,885,885,885,885,885
89000.0,890,890,890,890,890
89500.0,895,895,895,895,895
90000.0,900,900,900,900,900
90500.0,905,905,905,905,905
91000.0,910,910,910,910,910
91500.0,915,915,915,915,915
92000.0,920,920,920,920,920
92500.0,925,925,925,925,925
93000.0,930,930,930,930,930
93500.0,935,935,935,935,935
94000.0,940,940,940,940,940
94500.0,945,945,945,945,945
95000.0,950,950,950,950,950
95500.0,955,955,955,955,955
96000.0,960,960,960,960,960
96500.0,965,965,965,965,965
97000.0,970,970,970,970,970
97500.0,975,975,975,975,975
98000.0,980,980,980,980,980
98500.0,985,985,985,985,985
99000.0,990,990,990,990,990
99500.0,995,995,995,995,995
100000.0,1000,1000,1000,1000,1000
100500.0,1005,1005,1005,1005,1005
101000.0,1010,1010,1010,1010,1010
101500.0,1015,1015,1015,1015,1015
102000.0,1020,1020,1020,1020,1020
102500.0,1025,1025,1025,1025,1025
103000.0,1030,1030,1030,1030,1030
103500.0,1035,1035,1035,1035,1035
104000.0,1040,1040,1040,1040,1040
104500.0,1045,1045,1045,1045,1045
105000.0,1050,1050,1050,1050,1050
105500.0,1055,1055,1055,1055,1055
106000.0,1060,1060,1060,1060,1060
106500.0,1065,1065,1065,1065,1065
107000.0,1070,1070,1070,1070,1070
107500.0,1075,1075,1075,1075,1075
108000.0,1080,1080,1080,1080,1080
108500.0,1085,1085,1085,1085,1085
109000.0,1090,1090,1090,1090,1090
109500.0,1095,1095,1095,1095,1095
110000.0,1100,1100,1100,1100,1100
110500.0,1105,1105,1105,1105,1105
111000.0,1110,1110,1110,1110,1110
111500.0,1115,1115,1115,1115,1115
112000.0,1120,1120,1120,1120,1120
112500.0,1125,1125,1125,1125,1125
113000.0,1130,1130,1130,1130,1130
113500.0,1135,1135,1135,1135,1135
114000.0,1140,1140,1140,1140,1140
114500.0,1145,1145,1145,1145,1145
115000.0,1150,1150,1150,1150,1150
115500.0,1155,1155,1155,1155,1155
116000.0,1160,1160,1160,1160,1160
116500.0,1165,1165,1165,1165,1165
117000.0,1170,1170,1170,1170,1170
117500.0,1175,1175,1175,1175,1175
118000.0,1180,1180,1180,1180,1180
118500.0,1185,1185,1185,1185,1185
119000.0,1190,1190,1190,1190,1190
119500.0,1195,1195,1195,1195,1195
120000.0,1200,1200,1200,1200,1200
120500.0,1205,1205,1205,1205,1205
121000.0,1210,1210,1210,1210,1210
121500.0,1215,1215,1215,1215,1215
122000.0,1220,1220,1220,1220,1220
122500.0,1225,1225,1225,1225,1225
123000.0,1230,1230,1230,1230,1230
123500.0,1235,1235,1235,1235,1235
124000.0,1240,1240,1240,1240,1240
124500.0,1245,1245,1245,1245,1245
125000.0,1250,1250,1250,1250,1250
125500.0,1255,1255,1255,1255,1255
126000.0,1260,1260,1260,1260,1260
126500.0,1265,1265,1265,1265,1265
127000.0,1270,1270,1270,1270,1270
127500.0,1275,1275,1275,1275,1275
128000.0,1280,1280,1280,1280,1280
128500.0,1285,1285,1285,1285,1285
129000.0,1290,1290,1290,1290,1290
129500.0,1295,1295,1295,1295,1295
130000.0,1300,1300,1300,1300,1300
130500.0,1305,1305,1305,1305,1305
131000.0,1310,1310,1310,1310,1310
131500.0,1315,1315,1315,1315,1315
132000.0,1320,1320,1320,1320,1320
132500.0,1325,1325,1325,1325,1325
133000.0,1330,1330,1330,1330,1330
133500.0,1335,1335,1335,1335,1335
134000.0,1340,1340,1340,1340,1340
134500.0,1345,1345,1345,1345,1345
135000.0,1350,1350,1350,1350,1350
135500.0,1355,1355,1355,1355,1355
136000.0,1360,1360,1360,1360,1360
136500.0,1365,1365,1365,1365,1365
137000.0,1370,1370,1370,1370,1370
137500.0,1375,1375,1375,1375,1375
138000.0,1380,1380,1380,1380,1380
138500.0,1385,1385,1385,1385,1385
139000.0,1390,1390,1390,1390,1390
139500.0,1395,1395,1395,1395,1395
140000.0,1400,1400,1400,1400,1400
140500.0,1405,1405,1405,1405,1405
141000.0,1410,1410,1410,1410,1410
141500.0,1415,1415,1415,1415,1415
142000.0,1420,1420,1420,1420,1420
142500.0,1425,1425,1425,1425,1425
143000.0,1430,1430,1430,1430,1430
143500.0,1435,1435,1435,1435,1435
144000.0,1440,1440,1440,1440,1440
144500.0,1445,1445,1445,1445,1445
145000.0,1450,1450,1450,1450,1450
145500.0,1455,1455,1455,1455,1455
146000.0,1460,1460,1460,1460,1460
