frames,local,simple,no_epsilon_rnd,no_epsilon_z,normal
500.0,3.4924596548080444e-10,6.402842700481415e-10,-5.820766091346741e-10,3.14321368932724e-09,-2.3865140974521637e-09
1000.0,-2.5320332497358322e-09,-1.6007106751203537e-09,-1.6880221664905548e-09,1.4842953532934189e-09,-1.0913936421275139e-09
1500.0,1.210719347000122e-08,1.257285475730896e-08,3.725290298461914e-09,-5.587935447692871e-09,5.3085386753082275e-08
2000.0,-9.313225746154785e-10,,7.450580596923828e-09,2.7939677238464355e-09,-1.6298145055770874e-08
2500.0,2.421438694000244e-08,-1.210719347000122e-08,-4.190951585769653e-09,1.3969838619232178e-08,1.6763806343078613e-08
3000.0,-1.3969838619232178e-08,1.4901161193847656e-08,-1.2456439435482025e-08,3.166496753692627e-08,-9.313225746154785e-09
3500.0,-3.725290298461914e-09,2.3283064365386963e-09,-3.259629011154175e-09,2.7008354663848877e-08,-4.7497451305389404e-08
4000.0,-1.862645149230957e-08,-6.984919309616089e-09,7.450580596923828e-09,3.259629011154175e-09,2.9802322387695312e-08
4500.0,-1.0710209608078003e-08,7.450580596923828e-09,8.032657206058502e-09,1.4901161193847656e-08,2.9802322387695312e-08
5000.0,-2.7939677238464355e-09,-5.122274160385132e-09,3.4924596548080444e-09,5.122274160385132e-09,-4.0978193283081055e-08
5500.0,-9.313225746154785e-10,5.3551048040390015e-09,6.984919309616089e-09,-7.450580596923828e-09,1.862645149230957e-09
6000.0,,9.313225746154785e-10,1.3969838619232178e-09,-2.7939677238464355e-09,-9.266659617424011e-08
6500.0,-1.862645149230957e-08,7.450580596923828e-09,4.656612873077393e-10,-5.587935447692871e-09,-4.470348358154297e-08
7000.0,-7.450580596923828e-09,-6.51925802230835e-09,-7.450580596923828e-09,-1.0244548320770264e-08,-2.0489096641540527e-08
7500.0,8.381903171539307e-09,1.862645149230957e-08,-1.3969838619232178e-09,-9.313225746154785e-10,2.0489096641540527e-08
8000.0,-1.5832483768463135e-08,-1.0244548320770264e-08,-1.1641532182693481e-09,-8.847564458847046e-09,-2.2351741790771484e-08
8500.0,,6.51925802230835e-09,-1.6298145055770874e-09,8.381903171539307e-09,5.960464477539063e-08
9000.0,1.3969838619232178e-08,-1.1175870895385742e-08,3.958120942115784e-09,-6.51925802230835e-09,9.313225746154785e-09
9500.0,2.2351741790771484e-08,1.0244548320770264e-08,-2.3283064365386963e-09,-1.30385160446167e-08,2.0489096641540527e-08
10000.0,-5.587935447692871e-09,-6.51925802230835e-09,-5.587935447692871e-09,1.0244548320770264e-08,-1.1175870895385742e-08
10500.0,7.450580596923828e-09,6.51925802230835e-09,3.4924596548080444e-10,2.3283064365386963e-09,5.587935447692871e-09
11000.0,1.6763806343078613e-08,9.313225746154785e-09,-1.8044374883174896e-09,-9.313225746154785e-10,-1.862645149230957e-09
11500.0,1.8510036170482635e-08,1.501757651567459e-08,-2.3283064365386963e-10,1.3969838619232178e-08,-9.313225746154785e-10
12000.0,-7.450580596923828e-09,1.862645149230957e-09,-9.313225746154785e-10,-2.7939677238464355e-09,-5.587935447692871e-09
12500.0,-5.587935447692871e-09,5.587935447692871e-09,3.259629011154175e-09,-1.885928213596344e-08,1.862645149230957e-09
