frames,local,simple,normal
500.0,0.25056999921798706,0.33756425976753235,0.22449560463428497
1000.0,0.1809147298336029,0.17994828522205353,0.1
1500.0,0.2440710812807083,0.16061267256736755,0.1
2000.0,0.2823820114135742,0.5560569763183594,0.3072361648082733
2500.0,0.8034443855285645,0.8314361572265625,0.6583381295204163
3000.0,0.9,0.9,0.9
3500.0,0.9,0.9,0.9
4000.0,0.9,0.9,0.9
4500.0,0.9,0.9,0.9
5000.0,0.9,0.9,0.9
5500.0,0.9,0.9,0.9
6000.0,0.9,0.9,0.9
6500.0,0.9,0.9,0.9
7000.0,0.9,0.9,0.9
7500.0,0.9,0.9,0.9
8000.0,0.9,0.9,0.9
8500.0,0.9,0.9,0.9
9000.0,0.9,0.9,0.9
9500.0,0.9,0.9,0.9
10000.0,0.9,0.9,0.9
10500.0,0.9,0.9,0.9
11000.0,0.9,0.9,0.9
11500.0,0.9,0.9,0.9
12000.0,0.9,0.9,0.9
12500.0,0.9,0.9,0.9
13000.0,0.9,0.9,0.9
13500.0,0.9,0.9,0.9
14000.0,0.9,0.9,0.9
14500.0,0.9,0.9,0.9
15000.0,0.9,0.9,0.9
15500.0,0.9,0.9,0.9
16000.0,0.9,0.9,0.9
16500.0,0.9,0.9,0.9
17000.0,0.9,0.9,0.9
17500.0,0.9,0.9,0.9
18000.0,0.9,0.9,0.9
18500.0,0.9,0.9,0.9
19000.0,0.9,0.9,0.9
19500.0,0.9,0.9,0.9
20000.0,0.9,0.9,0.9
20500.0,0.9,0.9,0.9
21000.0,0.9,0.9,0.9
21500.0,0.9,0.9,0.9
22000.0,0.9,0.9,0.9
22500.0,0.9,0.9,0.9
23000.0,0.9,0.9,0.9
23500.0,0.9,0.9,0.9
24000.0,0.9,0.9,0.9
24500.0,0.9,0.9,0.9
25000.0,0.9,0.9,0.9
25500.0,0.9,0.9,0.9
26000.0,0.9,0.9,0.9
26500.0,0.9,0.9,0.9
27000.0,0.9,0.9,0.9
27500.0,0.9,0.9,0.9
28000.0,0.9,0.9,0.9
28500.0,0.9,0.9,0.9
29000.0,0.9,0.9,0.9
29500.0,0.9,0.9,0.9
30000.0,0.9,0.9,0.9
30500.0,0.9,0.9,0.9
31000.0,0.9,0.9,0.9
31500.0,0.9,0.9,0.9
32000.0,0.9,0.9,0.9
32500.0,0.9,0.9,0.9
33000.0,0.9,0.9,0.9
33500.0,0.9,0.9,0.9
34000.0,0.9,0.9,0.9
34500.0,0.9,0.9,0.9
35000.0,0.9,0.9,0.9
35500.0,0.9,0.9,0.9
36000.0,0.9,0.9,0.9
36500.0,0.9,0.9,0.9
37000.0,0.9,0.9,0.9
37500.0,0.9,0.9,0.9
38000.0,0.9,0.9,0.9
38500.0,0.9,0.9,0.9
39000.0,0.9,0.9,0.9
39500.0,0.9,0.9,0.9
40000.0,0.9,0.9,0.9
40500.0,0.9,0.9,0.9
41000.0,0.9,0.9,0.9
41500.0,0.9,0.9,0.9
42000.0,0.9,0.9,0.9
42500.0,0.9,0.9,0.9
43000.0,0.9,0.9,0.9
43500.0,0.9,0.9,0.9
44000.0,0.9,0.9,0.9
44500.0,0.9,0.9,0.9
45000.0,0.9,0.9,0.9
45500.0,0.9,0.9,0.9
46000.0,0.9,0.9,0.9
46500.0,0.9,0.9,0.9
47000.0,0.9,0.9,0.9
47500.0,0.9,0.9,0.9
48000.0,0.9,0.9,0.9
48500.0,0.9,0.9,0.9
49000.0,0.9,0.9,0.9
49500.0,0.9,0.9,0.9
50000.0,0.9,0.9,0.9
50500.0,0.9,0.9,0.9
51000.0,0.9,0.9,0.9
51500.0,0.9,0.9,0.9
52000.0,0.9,0.9,0.9
52500.0,0.9,0.9,0.9
53000.0,0.9,0.9,0.9
53500.0,0.9,0.9,0.9
54000.0,0.9,0.9,0.9
54500.0,0.9,0.9,0.9
55000.0,0.9,0.9,0.9
55500.0,0.9,0.9,0.9
56000.0,0.9,0.9,0.9
56500.0,0.9,0.9,0.9
57000.0,0.9,0.9,0.9
57500.0,0.9,0.9,0.9
58000.0,0.9,0.9,0.9
58500.0,0.9,0.9,0.9
59000.0,0.9,0.9,0.9
59500.0,0.9,0.9,0.9
60000.0,0.9,0.9,0.9
60500.0,0.9,0.9,0.9
61000.0,0.9,0.9,0.9
61500.0,0.9,0.9,0.9
62000.0,0.9,0.9,0.9
62500.0,0.9,0.9,0.9
63000.0,0.9,0.9,0.9
63500.0,0.9,0.9,0.9
64000.0,0.9,0.9,0.9
64500.0,0.9,0.9,0.9
65000.0,0.9,0.9,0.9
65500.0,0.9,0.9,0.9
66000.0,0.9,0.9,0.9
66500.0,0.9,0.9,0.9
67000.0,0.9,0.9,0.9
67500.0,0.9,0.9,0.9
68000.0,0.9,0.9,0.9
68500.0,0.9,0.9,0.9
69000.0,0.9,0.9,0.9
69500.0,0.9,0.9,0.9
70000.0,0.9,0.9,0.9
70500.0,0.9,0.9,0.9
71000.0,0.9,0.9,0.9
71500.0,0.9,0.9,0.9
72000.0,0.9,0.9,0.9
72500.0,0.9,0.9,0.9
73000.0,0.9,0.9,0.9
73500.0,0.9,0.9,0.9
74000.0,0.9,0.9,0.9
74500.0,0.9,0.9,0.9
75000.0,0.9,0.9,0.9
75500.0,0.9,0.9,0.9
76000.0,0.9,0.9,0.9
76500.0,0.9,0.9,0.9
77000.0,0.9,0.9,0.9
77500.0,0.9,0.9,0.9
78000.0,0.9,0.9,0.9
78500.0,0.9,0.9,0.9
79000.0,0.9,0.9,0.9
79500.0,0.9,0.9,0.9
80000.0,0.9,0.9,0.9
80500.0,0.9,0.9,0.9
81000.0,0.9,0.9,0.9
81500.0,0.9,0.9,0.9
82000.0,0.9,0.9,0.9
82500.0,0.9,0.9,0.9
83000.0,0.9,0.9,0.9
83500.0,0.9,0.9,0.9
84000.0,0.9,0.9,0.9
84500.0,0.9,0.9,0.9
85000.0,0.9,0.9,0.9
85500.0,0.9,0.9,0.9
86000.0,0.9,0.9,0.9
86500.0,0.9,0.9,0.9
87000.0,0.9,0.9,0.9
87500.0,0.9,0.9,0.9
88000.0,0.9,0.9,0.9
88500.0,0.9,0.9,0.9
89000.0,0.9,0.9,0.9
89500.0,0.9,0.9,0.9
90000.0,0.9,0.9,0.9
90500.0,0.9,0.9,0.9
91000.0,0.9,0.9,0.9
91500.0,0.9,0.9,0.9
92000.0,0.9,0.9,0.9
92500.0,0.9,0.9,0.9
93000.0,0.9,0.9,0.9
93500.0,0.9,0.9,0.9
94000.0,0.9,0.9,0.9
94500.0,0.9,0.9,0.9
95000.0,0.9,0.9,0.9
95500.0,0.9,0.9,0.9
96000.0,0.9,0.9,0.9
96500.0,0.9,0.9,0.9
97000.0,0.9,0.9,0.9
97500.0,0.9,0.9,0.9
98000.0,0.9,0.9,0.9
98500.0,0.9,0.9,0.9
99000.0,0.9,0.9,0.9
99500.0,0.9,0.9,0.9
100000.0,0.9,0.9,0.9
100500.0,0.9,0.9,0.9
101000.0,0.9,0.9,0.9
101500.0,0.9,0.9,0.9
102000.0,0.9,0.9,0.9
102500.0,0.9,0.9,0.9
103000.0,0.9,0.9,0.9
103500.0,0.9,0.9,0.9
104000.0,0.9,0.9,0.9
104500.0,0.9,0.9,0.9
105000.0,0.9,0.9,0.9
105500.0,0.9,0.9,0.9
106000.0,0.9,0.9,0.9
106500.0,0.9,0.9,0.9
