frames,local,simple,no_epsilon_rnd,no_epsilon_z,normal
500.0,1704758955.3404095,1702765054.2867699,1701306309.7647686,1701294378.2435112,1701257579.513979
1000.0,1704758957.9009082,1702765056.9817677,1701306312.4947689,1701294380.6210098,1701257581.8269794
1500.0,1704758960.5759082,1702765059.9552715,1701306315.167267,1701294383.6510124,1701257584.1679785
2000.0,1704758963.2554083,1702765062.3842688,1701306317.677769,1701294385.9770114,1701257586.3819785
2500.0,1704758966.4609082,1702765064.99827,1701306320.2262669,1701294388.533512,1701257588.6979783
3000.0,1704758969.0234084,1702765067.5472689,1701306322.821769,1701294390.717512,1701257591.1244788
3500.0,1704758971.4659083,1702765070.0347672,1701306325.388768,1701294393.062012,1701257593.3114786
4000.0,1704758973.9359105,1702765072.649768,1701306327.960267,1701294395.494511,1701257595.4709785
4500.0,1704758976.4544103,1702765075.2802696,1701306330.4137685,1701294398.1150103,1701257597.6299803
5000.0,1704758978.8689106,1702765077.7917671,1701306333.7797692,1701294400.42101,1701257599.7824805
5500.0,1704758982.5104082,1702765081.3917668,1701306338.0722675,1701294404.2740102,1701257603.1589808
6000.0,1704758985.103909,1702765083.816769,1701306340.6837683,1701294406.5210104,1701257605.320479
6500.0,1704758987.5999117,1702765086.1997669,1701306343.5332682,1701294408.8045115,1701257607.4644787
7000.0,1704758990.2834089,1702765088.5752702,1701306346.456267,1701294411.0960119,1701257609.732981
7500.0,1704758992.9064093,1702765091.0677667,1701306349.1742702,1701294413.344011,1701257612.0334806
8000.0,1704758995.57691,1702765093.4097688,1701306351.7757697,1701294415.5925126,1701257614.2294807
8500.0,1704758998.1994107,1702765095.7467678,1701306354.503268,1701294417.9420152,1701257616.3874784
9000.0,1704759000.9179084,1702765098.1297696,1701306357.5127697,1701294420.60501,1701257618.5454786
9500.0,1704759003.3334086,1702765100.8612669,1701306360.1682684,1701294423.1070125,1701257620.7469788
10000.0,1704759005.8934093,1702765103.5677686,1701306363.766767,1701294425.4760094,1701257622.8664806
10500.0,1704759009.4814103,1702765106.8732672,1701306367.1712701,1701294428.5240126,1701257625.8499787
11000.0,1704759011.815409,1702765109.2747693,1701306369.6717687,1701294431.122525,1701257627.9819787
11500.0,1704759014.1789107,1702765111.6067684,1701306372.0497682,1701294433.4705112,1701257630.1539786
12000.0,1704759016.7014081,1702765114.2882674,1701306374.3687675,1701294435.6025097,1701257632.3639784
