frames,local,simple,no_epsilon_rnd,no_epsilon_z,normal
500.0,3,3,0,0,1
1000.0,3,3,1,2,1
1500.0,3,3,1,2,1
2000.0,3,3,1,2,1
2500.0,3,3,1,2,3
3000.0,3,3,1,2,1
3500.0,3,3,1,2,3
4000.0,3,3,1,2,3
4500.0,1,3,1,2,3
5000.0,3,3,1,2,3
5500.0,3,3,1,2,3
6000.0,3,3,1,2,3
6500.0,3,3,1,2,3
7000.0,3,3,1,2,3
7500.0,3,3,1,2,3
8000.0,3,3,1,2,3
8500.0,3,1,1,2,3
9000.0,3,3,1,2,3
9500.0,0,3,0,2,3
10000.0,3,3,1,2,3
10500.0,3,3,1,2,3
11000.0,3,3,1,2,3
11500.0,3,3,1,2,3
12000.0,3,3,1,2,3
12500.0,3,3,1,2,3
13000.0,3,3,1,2,3
13500.0,3,3,1,2,3
14000.0,3,3,1,2,3
14500.0,3,3,1,2,0
15000.0,3,3,1,2,3
15500.0,0,3,1,2,3
16000.0,3,3,1,2,3
16500.0,3,3,1,2,3
17000.0,3,3,1,2,3
17500.0,3,3,1,2,3
18000.0,3,3,1,2,3
18500.0,3,3,1,2,3
19000.0,3,3,1,2,3
19500.0,3,3,1,2,3
20000.0,3,3,1,2,3
20500.0,1,3,1,2,3
21000.0,3,3,1,2,3
21500.0,3,3,1,2,3
22000.0,3,0,1,2,3
22500.0,3,3,1,2,3
23000.0,1,1,1,2,3
23500.0,3,3,1,2,3
24000.0,3,3,0,2,3
24500.0,3,3,1,2,3
25000.0,3,3,1,2,3
25500.0,3,3,1,1,3
26000.0,3,3,1,2,3
26500.0,1,2,1,2,3
27000.0,3,3,1,2,3
27500.0,3,3,1,2,3
28000.0,3,3,0,2,3
28500.0,3,3,0,2,3
29000.0,3,3,0,2,3
29500.0,3,3,1,2,3
30000.0,3,3,1,2,3
30500.0,3,3,1,2,3
31000.0,3,3,1,2,3
31500.0,3,3,1,2,3
32000.0,3,3,1,2,3
32500.0,3,3,1,2,3
33000.0,3,3,0,2,3
33500.0,3,3,0,2,3
34000.0,3,3,0,2,3
34500.0,3,3,1,2,3
35000.0,3,3,1,2,3
35500.0,1,3,1,2,3
36000.0,3,3,0,2,3
36500.0,3,3,1,2,3
37000.0,3,3,0,2,3
37500.0,3,3,1,2,3
38000.0,3,3,0,2,3
38500.0,3,3,1,0,3
39000.0,2,3,1,2,3
39500.0,1,3,0,2,3
40000.0,3,3,1,2,3
40500.0,3,3,0,2,3
41000.0,3,3,1,2,3
41500.0,3,3,1,2,3
42000.0,1,3,1,2,3
42500.0,3,3,1,2,3
43000.0,3,3,0,2,3
43500.0,3,3,0,2,3
44000.0,3,3,1,2,3
44500.0,3,3,1,2,3
45000.0,3,3,1,2,3
45500.0,3,3,1,2,3
46000.0,3,3,1,2,3
46500.0,0,3,1,2,3
47000.0,3,3,0,2,3
47500.0,3,3,1,2,3
48000.0,3,3,0,2,3
48500.0,3,3,1,2,3
49000.0,3,3,0,2,3
49500.0,3,3,0,2,3
50000.0,3,3,1,2,3
50500.0,3,3,0,2,3
51000.0,3,3,0,2,3
51500.0,3,3,1,2,3
52000.0,3,3,1,2,3
52500.0,3,3,0,2,3
53000.0,3,3,0,2,3
53500.0,3,3,1,2,3
54000.0,3,3,1,2,3
54500.0,3,3,1,2,3
55000.0,3,3,1,2,3
55500.0,3,3,0,2,3
56000.0,3,3,0,2,3
56500.0,3,3,1,2,3
57000.0,3,3,1,2,3
57500.0,3,3,0,2,3
58000.0,3,3,0,2,3
58500.0,3,3,1,2,3
59000.0,3,3,2,2,3
59500.0,3,3,1,2,3
60000.0,3,3,1,2,3
60500.0,3,0,1,2,3
61000.0,3,3,0,2,3
61500.0,3,3,1,2,3
62000.0,3,3,2,2,3
62500.0,3,3,0,2,3
63000.0,3,3,0,2,3
63500.0,3,3,0,2,3
64000.0,3,2,0,2,3
64500.0,3,3,0,2,3
65000.0,3,3,1,2,3
65500.0,0,3,1,2,3
66000.0,3,3,1,2,3
66500.0,3,3,1,2,3
67000.0,3,3,1,2,3
67500.0,3,3,1,2,3
68000.0,3,3,1,2,3
68500.0,3,3,1,2,3
69000.0,3,3,1,2,3
69500.0,3,3,1,2,3
70000.0,3,3,1,2,3
70500.0,3,3,1,2,3
71000.0,3,3,1,2,3
71500.0,3,3,1,2,3
72000.0,3,3,0,2,3
72500.0,3,3,1,2,3
73000.0,3,3,0,2,3
73500.0,1,3,2,1,3
74000.0,3,3,0,2,3
74500.0,3,3,1,2,3
75000.0,3,3,0,2,3
75500.0,3,3,1,2,3
76000.0,3,3,1,2,3
76500.0,3,3,1,2,3
77000.0,3,3,1,2,3
77500.0,3,3,1,2,3
78000.0,3,3,1,2,3
78500.0,3,3,0,2,3
79000.0,3,3,1,2,3
79500.0,3,3,0,2,3
80000.0,3,3,1,2,3
80500.0,3,3,1,2,3
81000.0,3,3,1,2,3
81500.0,3,3,1,2,3
82000.0,3,3,1,2,3
82500.0,3,3,1,2,3
83000.0,3,3,1,2,3
83500.0,3,3,1,2,3
84000.0,3,3,1,2,3
84500.0,3,3,1,2,3
85000.0,3,3,1,2,0
85500.0,3,3,1,2,3
86000.0,3,3,0,2,3
86500.0,3,3,1,2,3
87000.0,3,3,1,2,3
87500.0,3,3,1,2,3
88000.0,3,3,1,2,3
88500.0,3,3,1,2,3
89000.0,3,3,1,2,3
89500.0,3,3,1,2,3
90000.0,3,3,1,2,3
90500.0,3,3,1,2,0
91000.0,3,3,1,2,3
91500.0,3,3,1,2,3
92000.0,3,3,1,2,3
92500.0,3,3,1,2,3
93000.0,3,3,1,2,3
93500.0,3,3,1,2,3
94000.0,3,3,1,2,3
94500.0,3,3,1,2,3
95000.0,3,3,1,2,3
95500.0,3,3,1,2,2
96000.0,3,3,0,2,3
96500.0,3,3,0,2,3
97000.0,3,3,1,2,3
97500.0,3,3,1,2,3
98000.0,2,0,1,2,3
98500.0,3,3,1,2,3
99000.0,3,3,1,2,3
99500.0,3,3,1,2,3
100000.0,3,3,1,2,3
100500.0,3,3,1,2,3
101000.0,3,3,1,2,3
101500.0,3,3,1,2,3
102000.0,3,3,1,2,3
102500.0,3,3,1,2,3
103000.0,3,3,1,2,3
103500.0,3,3,1,2,3
104000.0,3,3,1,2,3
104500.0,3,3,1,2,3
105000.0,3,3,1,2,3
105500.0,3,3,1,2,3
106000.0,3,3,0,2,3
106500.0,3,3,1,2,3
107000.0,3,3,0,2,3
107500.0,3,3,1,2,3
108000.0,3,3,1,2,3
108500.0,3,3,1,2,3
109000.0,3,3,1,2,3
109500.0,3,3,1,2,3
110000.0,0,3,0,2,3
110500.0,3,3,0,1,3
111000.0,3,3,0,2,3
111500.0,0,3,1,2,1
112000.0,3,3,1,2,3
112500.0,3,3,1,2,3
113000.0,3,3,1,2,3
113500.0,3,3,1,2,3
114000.0,3,3,1,2,3
114500.0,3,3,0,2,3
115000.0,3,3,1,2,3
115500.0,3,3,0,2,3
116000.0,3,3,0,2,3
116500.0,3,3,1,2,3
117000.0,3,3,1,2,3
117500.0,3,3,1,2,3
118000.0,3,3,2,2,3
118500.0,3,3,2,2,3
119000.0,3,3,2,2,3
119500.0,3,3,1,2,3
120000.0,3,3,0,2,3
120500.0,3,3,0,2,3
121000.0,3,3,1,2,3
121500.0,3,3,1,2,3
122000.0,3,3,2,2,3
122500.0,3,3,1,2,3
123000.0,3,3,1,2,3
123500.0,3,3,1,2,0
124000.0,3,3,1,2,3
124500.0,3,3,2,2,3
125000.0,3,3,0,2,3
125500.0,3,3,1,2,3
126000.0,3,3,1,2,3
126500.0,3,3,1,2,3
127000.0,3,3,2,0,3
127500.0,3,3,2,2,3
128000.0,3,3,2,2,3
128500.0,3,3,1,2,3
129000.0,3,3,1,2,3
129500.0,3,2,1,2,3
130000.0,3,0,0,2,3
130500.0,3,3,1,2,3
131000.0,3,3,0,2,3
131500.0,3,3,1,2,3
132000.0,3,3,1,2,3
132500.0,2,3,1,2,3
133000.0,3,2,1,2,3
133500.0,3,3,1,2,3
134000.0,3,3,1,2,3
134500.0,3,3,1,2,3
135000.0,3,3,1,2,3
135500.0,3,3,2,2,3
136000.0,3,3,1,2,3
136500.0,3,3,2,2,3
137000.0,3,3,0,2,3
137500.0,3,3,0,2,3
138000.0,3,3,1,2,3
138500.0,3,3,1,2,3
139000.0,3,3,1,2,3
139500.0,3,3,2,2,3
140000.0,3,3,1,2,3
140500.0,3,3,1,2,3
141000.0,3,3,1,2,3
141500.0,3,3,2,0,3
142000.0,3,3,1,2,3
142500.0,2,3,1,2,3
143000.0,3,3,2,2,3
143500.0,3,3,0,2,3
144000.0,3,3,0,2,3
144500.0,3,3,1,2,3
145000.0,3,3,1,2,3
145500.0,3,3,1,2,3
146000.0,3,3,1,2,3
146500.0,3,3,1,2,3
147000.0,3,3,1,2,3
147500.0,3,3,1,2,3
148000.0,3,3,1,2,3
148500.0,3,3,1,2,3
149000.0,3,3,2,2,3
149500.0,3,3,1,2,3
150000.0,3,3,2,2,3
150500.0,3,3,0,2,3
151000.0,3,3,1,2,3
