frames,local,simple,no_epsilon_rnd,no_epsilon_z,normal
500.0,44,56,67,100,83
1000.0,53,67,97,132,121
1500.0,63,79,123,138,153
2000.0,71,88,143,144,177
2500.0,78,94,162,150,196
3000.0,86,99,182,155,207
3500.0,91,105,200,160,213
4000.0,97,110,221,165,220
4500.0,103,116,247,170,225
5000.0,109,123,262,176,230
5500.0,114,128,283,182,236
6000.0,119,134,306,189,245
6500.0,124,141,332,194,252
7000.0,130,146,349,199,259
7500.0,136,151,368,204,265
8000.0,142,156,391,209,271
8500.0,147,161,409,215,279
9000.0,154,167,434,220,286
9500.0,161,175,456,228,292
10000.0,166,181,481,235,300
10500.0,172,186,501,243,307
11000.0,178,194,518,250,313
11500.0,186,200,537,255,318
12000.0,192,205,559,262,324
12500.0,197,210,575,269,332
13000.0,203,219,593,274,339
13500.0,209,224,609,279,345
14000.0,214,230,625,285,351
14500.0,220,238,651,292,359
15000.0,226,244,681,297,366
15500.0,232,249,697,303,371
16000.0,237,256,714,308,376
16500.0,244,261,738,314,382
17000.0,250,269,754,319,387
17500.0,257,275,778,325,393
18000.0,264,280,801,330,398
18500.0,270,287,817,337,404
19000.0,276,294,839,342,410
19500.0,281,300,870,348,416
20000.0,286,305,889,354,421
20500.0,293,312,909,359,428
21000.0,298,317,925,364,434
21500.0,306,323,945,369,441
22000.0,311,328,969,376,448
22500.0,317,335,992,381,454
23000.0,323,340,1013,387,460
23500.0,330,345,1035,393,468
24000.0,338,352,1066,399,476
24500.0,344,359,1103,405,481
25000.0,349,364,1145,410,487
25500.0,355,371,1176,417,493
26000.0,361,376,1200,423,500
26500.0,367,382,1230,428,506
27000.0,376,387,1260,434,513
27500.0,381,392,1301,439,518
28000.0,386,397,1340,445,523
28500.0,391,403,1377,452,528
29000.0,396,411,1409,459,536
29500.0,403,417,1443,465,542
30000.0,408,422,1483,470,547
30500.0,414,429,1512,477,552
31000.0,419,434,1540,483,558
31500.0,426,439,1580,489,563
32000.0,433,444,1610,494,568
32500.0,441,449,1638,499,575
33000.0,446,454,1676,505,581
33500.0,453,461,1716,510,588
34000.0,458,467,1753,515,595
34500.0,464,473,1796,521,601
35000.0,470,480,1841,526,607
35500.0,477,485,1878,533,612
36000.0,484,492,1919,538,619
36500.0,490,498,1973,545,624
37000.0,496,505,2009,551,631
37500.0,501,510,2048,556,638
38000.0,509,516,2097,562,644
38500.0,517,523,2137,567,649
39000.0,522,529,2179,574,655
39500.0,528,536,2222,579,660
40000.0,534,541,2252,585,666
40500.0,540,546,2281,591,673
41000.0,546,552,2328,596,679
41500.0,553,557,2373,601,685
42000.0,560,563,2405,607,690
42500.0,566,569,2439,613,696
43000.0,573,574,2465,618,702
43500.0,579,580,2490,624,707
44000.0,584,585,2515,629,712
44500.0,589,592,2549,635,717
45000.0,594,597,2579,641,723
45500.0,601,602,2606,646,729
46000.0,608,608,2641,653,736
46500.0,615,614,2688,658,742
47000.0,620,620,2734,664,749
47500.0,626,625,2771,670,754
48000.0,632,631,2810,676,761
48500.0,637,638,2849,681,768
49000.0,643,645,2887,686,773
49500.0,648,650,2926,691,778
50000.0,654,655,2960,697,785
50500.0,661,661,2990,702,792
51000.0,667,666,3033,707,798
51500.0,676,672,3080,713,805
52000.0,683,677,3122,718,812
52500.0,689,682,3168,723,817
53000.0,694,687,3202,730,823
53500.0,701,693,3248,735,830
54000.0,707,699,3288,740,836
54500.0,713,704,3325,747,842
55000.0,718,709,3373,752,847
