frames,local,simple,no_epsilon_rnd,no_epsilon_z,normal
500.0,0.8959739804267883,1.3003025770187377,NaN,NaN,1.7392737468083699
1000.0,0.44988010823726654,NaN,NaN,NaN,1.1691303253173828
1500.0,0.31857387721538544,0.3575366238753001,0.6971266269683838,0.6508736789226532,0.775225838025411
2000.0,0.23261666297912598,0.2891818776726723,NaN,0.3685412108898163,0.5312538333237171
2500.0,NaN,0.2642006427049637,0.36461228132247925,0.3098505958914757,0.47464431524276735
3000.0,0.15099092498421668,0.16838049814105033,NaN,0.21982836127281188,NaN
3500.0,0.13414642829447984,0.1663134753704071,0.2115628570318222,0.15542034283280373,0.2962288334965706
4000.0,0.09781902357935905,0.13775164261460304,0.2298680916428566,0.13762529864907264,0.2134869396686554
4500.0,0.07215613648295402,0.07888721581548452,NaN,0.09018093571066857,0.16903730630874633
5000.0,0.06463684663176536,0.07893375735729932,0.1263170043627421,0.07361681349575519,0.13002098500728607
5500.0,0.07444356847554445,0.08075770400464535,0.18673749268054962,0.055149521306157114,0.1018656451255083
6000.0,0.045771136672960386,0.0434233620762825,NaN,0.037154574505984785,0.07297501377761365
6500.0,0.03456199280917645,0.039392719976603985,NaN,0.03363654725253582,0.042202039062976836
7000.0,0.03964085504412651,0.04705811627209187,0.05176936089992523,0.01569263357669115,0.030978115648031233
7500.0,0.03120813751593232,0.03824262665584684,NaN,0.017682488542050123,0.016260819975286722
8000.0,0.015564232459291815,0.029388182796537876,NaN,0.009540046425536275,0.009374254010617733
8500.0,0.019933224935084582,0.023339252918958664,0.011235099182360701,0.0051440437324345115,0.005285814016436537
9000.0,0.01487241666764021,0.019438966177403927,0.009233520366251469,0.003292473964393139,0.0039495768724009395
9500.0,0.01264455271884799,0.011217782832682132,0.005763147957623005,0.001841757446527481,0.002576060825958848
10000.0,0.01091538555920124,0.007617401098832488,0.004859240880856912,0.001174154016189277,0.0016678451327607035
10500.0,0.006810665217926726,0.0047625909792259336,NaN,0.0008768691138053933,0.001483627303969115
11000.0,0.0036444643046706915,0.003977723978459835,0.0029533186461776495,0.0006968888716073707,0.0010163595143239945
11500.0,0.0028031845577061176,NaN,NaN,0.0005727938987547532,0.0007142022135667503
12000.0,0.0021801122114993633,0.0016476654447615147,0.0015258468920364976,0.0003917652124073356,0.0005893327586818486
12500.0,0.001505911926506087,0.0014155142474919558,0.0017102838998350005,0.0002845686588746806,0.00039867559930176606
13000.0,0.0008951740863267332,0.0012622461537830532,0.0016287332400679588,0.0002387787521001883,0.00037511781556531787
13500.0,0.0006773219327442348,0.001128788266214542,0.0010362023022025824,0.0001730977339320816,0.0002222459836048074
14000.0,0.0005775460856966674,0.0009967856691218912,0.001480089034885168,0.000137988891947316,0.00017981553974095733
14500.0,0.00043388869962655006,0.0007262544939294457,0.001131057390011847,0.0001101290006772615,0.022489606082672253
15000.0,0.0003844783903332427,0.0007256094948388636,NaN,9.02238664113813e-05,0.00012559662500279955
15500.0,0.00031412151147378606,0.000502625125227496,0.0006493095541372895,6.107191002229229e-05,7.690055717830546e-05
16000.0,0.00037497686862479894,0.0005481812404468656,NaN,5.6166286958614366e-05,6.24827340029047e-05
16500.0,0.00018807179294526576,0.0003636095294496045,0.0005007251602364704,6.159651093184948e-05,4.169985095359152e-05
17000.0,0.0001873425571830012,0.0003951819060603157,0.00041850373963825405,3.9281154749915e-05,4.2497551658016167e-05
17500.0,0.0001332652900600806,0.00026086565958394203,0.0003997580861323513,0.006428980103919457,2.485767636244418e-05
18000.0,NaN,0.00025026913062902166,0.00038653629599139094,2.0661993767134844e-05,2.2182157408678904e-05
18500.0,0.000790915016841609,0.00019043547508772462,NaN,1.4194171671988443e-05,1.495410731422453e-05
19000.0,0.00015851400457904673,0.00019546561743482015,0.0002190792583860457,1.1333404381730361e-05,1.4103365401751944e-05
19500.0,8.138009980029892e-05,0.00014611890946980566,0.00020869632135145366,1.0242137705063215e-05,7.664039344490448e-06
20000.0,0.006496859110484365,0.00013675059599336237,0.0002186760859331116,1.4735209697391838e-05,9.895370476442622e-06
20500.0,7.650063525943551e-05,0.0001427181276085321,0.0001884190147393383,5.9386871271271955e-06,5.992778028485191e-06
21000.0,6.237358684302308e-05,0.00010088615908898646,0.0001710629239823902,8.088572894848766e-06,7.967746569192968e-06
21500.0,4.320366739799889e-05,0.00011670826061163097,NaN,4.644575165002607e-06,4.519148155345141e-06
22000.0,0.007120969654715736,7.337763818213717e-05,0.00010799592980349968,6.388566544046626e-06,6.436391936404107e-06
22500.0,4.7692224870843344e-05,6.327133523882366e-05,8.179836731869727e-05,2.2870028374200046e-06,2.5398835532541852e-06
23000.0,4.977507550003273e-05,5.9249275363981726e-05,NaN,4.918890886074223e-06,5.838847300765337e-06
23500.0,4.432875593920471e-05,5.646754907502327e-05,8.20094792288728e-05,2.007893579047959e-06,1.1786080733600102e-06
24000.0,5.069567123427987e-05,4.190595682302955e-05,6.278484215727076e-05,9.395247616339475e-06,NaN
24500.0,3.303676603536587e-05,3.554256945790257e-05,8.576688560424373e-05,3.807860150573106e-06,2.161267957490054e-06
25000.0,3.206893561582547e-05,3.36204786435701e-05,5.079514812678099e-05,4.950299887696019e-06,4.471588226806489e-06
25500.0,1.5611319213348906e-05,3.762886672120658e-05,NaN,0.0063950594925245244,2.2294943846645765e-05
26000.0,0.0101933338186687,3.2614789051876866e-05,3.7858808354940265e-05,2.0196386003590305e-06,4.4851755774288906e-06
26500.0,2.3136187246564076e-05,4.194142129563261e-05,3.417024345253594e-05,6.875563030916965e-07,8.435204279066966e-07
27000.0,1.560478667670395e-05,5.609857544186525e-05,2.7146480078954482e-05,7.667256767263098e-07,3.848233222925046e-06
27500.0,1.4918897613824811e-05,3.490787385089789e-05,2.4454636331938673e-05,3.7088061617396305e-07,1.0810823368956336e-06
28000.0,1.0596716856525746e-05,2.9625055685755796e-05,2.665139800228644e-05,3.969060520603307e-06,1.288655914777337e-06
28500.0,1.1019975090675871e-05,1.6204710391320987e-05,NaN,1.542668445608797e-06,3.6601128954316665e-07
29000.0,1.3451910672301892e-05,NaN,1.070028156391345e-05,6.912311931728254e-07,1.93675115269798e-06
29500.0,5.22285647548415e-06,1.0197794654231985e-05,9.856586075329687e-06,7.393098883312632e-07,0.01294042671988791
30000.0,0.0001230728884365817,1.5922312923066783e-05,7.5659575789662386e-06,4.843842157242762e-06,6.9738829552079554e-06
30500.0,5.760409840149805e-06,8.169035481842002e-06,1.0499913514649961e-05,2.8502013051934225e-07,1.51897691580416e-07
31000.0,7.549775687544348e-05,0.006318913112772861,5.4063489187683444e-06,2.3984445241304845e-06,5.854837490915088e-06
31500.0,NaN,5.743977953898138e-06,NaN,3.898342009733824e-06,7.499286844847574e-08
32000.0,4.3516504410945346e-05,1.0754520963018876e-05,NaN,7.99842446213006e-06,6.485995027105673e-06
32500.0,1.0953161108773202e-05,3.216233903913235e-06,1.8445009573042626e-06,2.8962575697732973e-06,3.36459331720107e-06
33000.0,4.186396508885082e-05,3.6308470725998633e-06,NaN,2.7474374822607692e-06,3.0018056804692606e-06
33500.0,8.897977522792644e-06,NaN,1.4373107433129917e-06,2.323077282539998e-06,4.0399198496743335e-06
34000.0,0.006997492114351189,1.362260736641474e-05,NaN,9.599919258107547e-06,1.0973162670779856e-05
34500.0,1.2399686056596693e-05,4.691651042776357e-06,9.890615046970197e-07,9.954955970670198e-08,5.780922634812669e-07
35000.0,0.007113640462193871,6.211935669853119e-06,5.348266768123722e-06,9.560748564751975e-06,9.790610238269438e-06
35500.0,0.007925794713881058,1.6360585391339554e-06,NaN,9.968899632895045e-07,1.925097058119718e-06
36000.0,NaN,NaN,NaN,2.9405493933154503e-06,2.1494349441906835e-06
36500.0,6.2358761169889474e-06,1.152166674955879e-06,6.235122403571344e-07,2.642879962877487e-06,4.2820740873139587e-07
37000.0,9.45814522310684e-06,8.302274954985478e-06,7.991478696567356e-07,3.3731082794474786e-06,6.563295534710454e-06
37500.0,5.1974770053675455e-05,3.3299588608315387e-06,NaN,1.5020164846646367e-05,0.006318820349497401
38000.0,4.651184895010374e-06,0.012612312445708086,NaN,1.9362045350135304e-05,7.253693456732435e-06
38500.0,1.1937553790630772e-05,1.0157291399082169e-06,NaN,1.1119641158074956e-06,0.006695408462553587
