frames,local,simple,no_epsilon_rnd,no_epsilon_z,normal
500.0,-0.2857142857142857,-0.19230769230769232,-5.0,-1.4285714285714286,-0.3333333333333333
1000.0,-0.45454545454545453,-1.6666666666666667,-5.0,-10.0,-3.3333333333333335
1500.0,-0.47619047619047616,-0.2702702702702703,-1.6666666666666667,0.0,-0.18867924528301888
2000.0,-0.625,0.0,-5.0,-0.16393442622950818,-0.12345679012345678
2500.0,-10.0,-0.29411764705882354,-0.6666666666666666,-0.2631578947368421,0.0
3000.0,0.0,0.0,-2.5,0.0,-3.3333333333333335
3500.0,0.0,0.0,-1.4285714285714286,0.0,0.0
4000.0,0.0,0.0,-0.5,0.0,-0.2222222222222222
4500.0,0.0,0.0,-1.6666666666666667,0.0,0.0
5000.0,0.0,0.0,-0.30303030303030304,0.0,0.0
5500.0,0.0,0.0,-0.9090909090909091,0.0,0.0
6000.0,-0.1111111111111111,-1.4285714285714286,-5.0,0.0,0.0
6500.0,0.0,-0.1388888888888889,-5.0,0.0,0.0
7000.0,-0.5555555555555556,0.0,-1.6666666666666667,-0.7692307692307693,0.0
7500.0,0.0,0.0,-5.0,0.0,0.0
8000.0,-0.17543859649122806,-0.1,-5.0,0.0,0.0
8500.0,0.0,0.0,-0.1111111111111111,0.0,-0.18181818181818182
9000.0,0.0,0.0,-1.6666666666666667,0.0,-0.13157894736842105
9500.0,0.0,0.0,-1.25,0.0,0.0
10000.0,-0.15625,0.0,-0.4166666666666667,0.0,0.0
10500.0,-0.12345679012345678,0.0,-2.5,-0.17543859649122806,-0.47619047619047616
11000.0,-0.45454545454545453,0.0,-0.5263157894736842,0.0,0.0
11500.0,-0.47619047619047616,-2.5,-2.5,0.0,0.0
12000.0,0.0,0.0,-1.1111111111111112,0.0,0.0
12500.0,0.0,0.0,-0.1724137931034483,-0.4166666666666667,-0.14705882352941177
13000.0,0.0,0.0,-1.6666666666666667,0.0,-2.0
13500.0,0.0,-0.11904761904761904,-1.4285714285714286,0.0,0.0
14000.0,0.0,0.0,-0.9090909090909091,0.0,0.0
14500.0,0.0,0.0,-0.5,-0.10638297872340426,-0.2857142857142857
15000.0,-0.20408163265306123,0.0,-3.3333333333333335,0.07720330056179775,0.0
