frames,no_epsilon_rnd,no_epsilon_z,local,normal,simple
500.0,-2.240994945168495e-09,-3.259629011154175e-09,1.949956640601158e-09,4.656612873077393e-10,1.7462298274040222e-09
1000.0,-1.1641532182693481e-10,-1.1641532182693481e-09,3.4924596548080444e-10,-1.1641532182693481e-10,7.566995918750763e-10
1500.0,-4.656612873077393e-10,1.3096723705530167e-10,-1.1641532182693481e-10,1.7462298274040222e-10,-1.57160684466362e-09
2000.0,,-2.9103830456733704e-11,-2.3283064365386963e-10,2.9103830456733704e-11,2.1827872842550278e-10
2500.0,1.1641532182693481e-09,6.984919309616089e-10,-5.238689482212067e-10,5.820766091346741e-11,2.9103830456733704e-11
3000.0,-1.862645149230957e-09,2.9103830456733704e-10,1.7171259969472885e-09,-4.94765117764473e-10,-9.313225746154785e-10
3500.0,8.149072527885437e-10,-1.4551915228366852e-10,5.529727786779404e-10,-4.94765117764473e-10,-1.0186340659856796e-10
4000.0,-2.3283064365386963e-10,4.729372449219227e-10,-4.656612873077393e-10,-3.346940502524376e-10,-8.731149137020111e-11
4500.0,-6.984919309616089e-10,-5.820766091346741e-11,8.149072527885437e-10,-5.820766091346741e-11,4.656612873077393e-10
5000.0,8.731149137020111e-11,-2.4010660126805305e-10,-1.1641532182693481e-09,7.566995918750763e-10,4.94765117764473e-10
5500.0,1.1641532182693481e-10,4.802132025361061e-10,1.1059455573558807e-09,8.731149137020111e-10,1.6298145055770874e-09
6000.0,-5.820766091346741e-10,2.4374458007514477e-10,-2.3283064365386963e-10,1.7462298274040222e-10,3.4924596548080444e-10
6500.0,3.4924596548080444e-10,2.9103830456733704e-11,-9.604264050722122e-10,-1.8044374883174896e-09,-4.511093720793724e-10
7000.0,-1.979060471057892e-09,2.9103830456733704e-11,7.566995918750763e-10,6.810296326875687e-09,-4.0745362639427185e-10
7500.0,5.820766091346741e-11,-5.820766091346741e-11,1.1641532182693481e-10,-2.0954757928848267e-09,-1.862645149230957e-09
8000.0,5.238689482212067e-10,-8.731149137020111e-11,5.820766091346741e-11,7.683411240577698e-09,-6.984919309616089e-10
8500.0,-3.4924596548080444e-10,-4.336470738053322e-09,-1.2223608791828156e-09,9.313225746154785e-10,-9.89530235528946e-10
9000.0,1.3969838619232178e-09,8.731149137020111e-11,-5.820766091346741e-10,-4.0745362639427185e-10,-1.1641532182693481e-09
9500.0,-6.984919309616089e-10,-4.5838532969355583e-10,3.4924596548080444e-10,2.3283064365386963e-10,-1.6880221664905548e-09
10000.0,8.149072527885437e-10,-5.820766091346741e-11,3.7834979593753815e-10,2.3283064365386963e-10,6.984919309616089e-10
10500.0,-1.1059455573558807e-09,-1.127773430198431e-10,1.3387762010097504e-09,8.149072527885437e-10,1.6298145055770874e-09
11000.0,-2.3283064365386963e-10,-2.0372681319713593e-10,-8.731149137020111e-10,-1.3969838619232178e-09,3.026798367500305e-09
11500.0,6.111804395914078e-10,5.820766091346741e-11,-1.6880221664905548e-09,1.6589183360338211e-09,-7.566995918750763e-10
12000.0,-1.7462298274040222e-10,1.8917489796876907e-10,1.280568540096283e-09,8.149072527885437e-10,1.862645149230957e-09
12500.0,-3.7834979593753815e-10,7.275957614183426e-12,-1.979060471057892e-09,-2.5320332497358322e-09,-3.3760443329811096e-09
13000.0,-2.3283064365386963e-10,-5.820766091346741e-10,8.149072527885437e-10,-1.280568540096283e-09,-2.9103830456733704e-10
13500.0,-6.693881005048752e-10,-2.9103830456733704e-11,2.3283064365386963e-10,9.313225746154785e-10,6.111804395914078e-10
14000.0,-1.280568540096283e-09,1.6007106751203537e-10,1.0477378964424133e-09,5.820766091346741e-10,1.3969838619232178e-09
14500.0,-1.6298145055770874e-09,-5.238689482212067e-10,-1.5425030142068863e-09,-1.5133991837501526e-09,2.3283064365386963e-10
15000.0,-9.313225746154785e-10,-2.9103830456733704e-10,-2.3283064365386963e-10,-4.0745362639427185e-10,4.132743924856186e-09
15500.0,-5.820766091346741e-10,,8.149072527885437e-10,-1.1641532182693481e-10,-1.8044374883174896e-09
16000.0,-1.0186340659856796e-09,6.548361852765083e-11,-2.2118911147117615e-09,2.5902409106492996e-09,-1.1641532182693481e-09
16500.0,1.1641532182693481e-09,5.820766091346741e-11,-4.6566128730773926e-09,1.367880031466484e-09,-2.444721758365631e-09
17000.0,-4.656612873077393e-10,2.0372681319713593e-10,-9.313225746154785e-10,-1.7462298274040222e-10,3.958120942115784e-09
17500.0,1.4551915228366852e-10,-3.7834979593753815e-10,-2.6775524020195007e-09,-3.725290298461914e-09,1.57160684466362e-09
18000.0,-3.4924596548080444e-10,6.984919309616089e-10,1.1059455573558807e-09,6.868503987789154e-09,2.0372681319713593e-09
18500.0,5.238689482212067e-10,1.1641532182693481e-10,-3.6088749766349792e-09,1.0477378964424133e-09,2.1245796233415604e-09
19000.0,2.3283064365386963e-10,-2.6193447411060333e-09,8.731149137020111e-11,-6.984919309616089e-10,5.529727786779404e-09
19500.0,2.1827872842550278e-10,1.1641532182693481e-09,-1.3387762010097504e-09,-9.89530235528946e-10,8.149072527885437e-10
20000.0,-1.1641532182693481e-09,-1.2223608791828156e-09,-9.313225746154785e-10,2.9103830456733704e-10,-2.473825588822365e-09
20500.0,1.1641532182693481e-10,1.1641532182693481e-10,2.3283064365386963e-09,-5.820766091346741e-11,-2.7939677238464355e-09
21000.0,-7.566995918750763e-10,-9.89530235528946e-10,-4.656612873077393e-10,-1.8335413187742233e-09,-1.3969838619232178e-09
21500.0,-2.1827872842550278e-10,8.149072527885437e-10,9.604264050722122e-10,1.0477378964424133e-09,1.862645149230957e-09
22000.0,1.7462298274040222e-10,-1.3969838619232178e-09,-5.820766091346741e-11,2.2264430299401283e-09,6.6356733441352844e-09
22500.0,-1.076841726899147e-09,-2.6193447411060333e-09,-1.6298145055770874e-09,3.4924596548080444e-10,-2.0954757928848267e-09
23000.0,-1.0477378964424133e-09,5.820766091346741e-10,-3.259629011154175e-09,7.8580342233181e-10,1.280568540096283e-09
23500.0,2.2118911147117615e-09,1.1059455573558807e-09,6.984919309616089e-10,-2.9103830456733704e-10,-2.270098775625229e-09
24000.0,8.731149137020111e-10,-1.1641532182693481e-09,-1.6298145055770874e-09,4.656612873077393e-10,-3.4924596548080444e-10
24500.0,-2.3283064365386963e-10,-7.566995918750763e-10,2.0954757928848267e-09,-1.3533281162381172e-09,6.984919309616089e-10
25000.0,4.0745362639427185e-10,5.820766091346741e-11,3.3760443329811096e-09,1.1641532182693481e-10,-1.6298145055770874e-09
25500.0,-8.149072527885437e-10,-2.0954757928848267e-09,-8.149072527885437e-10,1.1641532182693481e-09,-4.0745362639427185e-10
26000.0,1.979060471057892e-09,1.9208528101444244e-09,3.4924596548080444e-10,7.566995918750763e-10,-5.820766091346741e-10
26500.0,-8.149072527885437e-10,-1.3969838619232178e-09,-9.022187441587448e-10,-6.83940015733242e-10,1.7462298274040222e-09
27000.0,1.1350493878126144e-09,-2.3283064365386963e-09,2.153683453798294e-09,4.94765117764473e-10,8.149072527885437e-10
27500.0,-4.656612873077393e-10,4.94765117764473e-10,1.862645149230957e-09,1.1641532182693481e-09,-3.4924596548080444e-10
28000.0,9.89530235528946e-10,-2.9103830456733704e-09,7.566995918750763e-10,8.149072527885437e-10,-2.6193447411060333e-10
28500.0,-4.656612873077393e-10,-1.862645149230957e-09,1.1350493878126144e-09,-1.1641532182693481e-10,-3.4924596548080444e-10
29000.0,5.238689482212067e-10,1.6298145055770874e-09,1.1059455573558807e-09,2.3283064365386963e-10,-2.9103830456733704e-10
29500.0,-1.3387762010097504e-09,-6.984919309616089e-10,-6.402842700481415e-10,-7.8580342233181e-10,
30000.0,5.820766091346741e-10,4.656612873077393e-10,,9.313225746154785e-10,-3.4924596548080444e-09
30500.0,1.1641532182693481e-10,9.313225746154785e-10,-3.4924596548080444e-10,7.8580342233181e-10,-8.149072527885437e-10
31000.0,-2.9103830456733704e-10,4.656612873077393e-10,-8.149072527885437e-10,2.3283064365386963e-10,2.735760062932968e-09
31500.0,2.9103830456733704e-11,3.2014213502407074e-10,-2.444721758365631e-09,-9.458744898438454e-10,-2.3283064365386963e-09
32000.0,-1.6007106751203537e-09,1.0477378964424133e-09,-1.7462298274040222e-09,-1.1641532182693481e-09,-1.6880221664905548e-09
32500.0,-2.9103830456733704e-10,5.384208634495735e-10,5.966285243630409e-10,-3.4924596548080444e-10,-1.1641532182693481e-09
33000.0,-4.220055416226387e-10,6.257323548197746e-10,-1.1350493878126144e-09,2.3283064365386963e-10,-1.1641532182693481e-10
33500.0,8.149072527885437e-10,4.3655745685100555e-10,-2.3283064365386963e-10,6.984919309616089e-10,-5.820766091346741e-10
34000.0,-5.820766091346741e-11,-6.984919309616089e-10,9.89530235528946e-10,,3.4924596548080444e-10
34500.0,-6.402842700481415e-10,1.280568540096283e-09,1.1059455573558807e-09,-1.862645149230957e-09,1.2223608791828156e-09
35000.0,-2.3283064365386963e-10,1.5133991837501526e-09,2.2118911147117615e-09,2.561137080192566e-09,-2.2118911147117615e-09
35500.0,-1.8335413187742233e-09,-1.3096723705530167e-09,9.313225746154785e-10,2.0954757928848267e-09,-1.3969838619232178e-09
36000.0,,-3.4924596548080444e-10,1.9208528101444244e-09,-2.0954757928848267e-09,-2.2118911147117615e-09
36500.0,6.984919309616089e-10,-2.9685907065868378e-09,7.275957614183426e-10,-1.7462298274040222e-10,-1.6298145055770874e-09
37000.0,1.0913936421275139e-10,-4.656612873077393e-10,1.3969838619232178e-09,,
37500.0,-3.4924596548080444e-10,2.444721758365631e-09,-2.6193447411060333e-10,-5.820766091346741e-10,2.3283064365386963e-10
38000.0,-9.313225746154785e-10,5.238689482212067e-10,2.2118911147117615e-09,2.9103830456733704e-10,5.820766091346741e-10
38500.0,2.0372681319713593e-09,4.656612873077393e-10,-3.4924596548080444e-10,-1.5133991837501526e-09,4.540197551250458e-09
39000.0,-1.1641532182693481e-10,-2.764863893389702e-10,-6.984919309616089e-10,-8.731149137020111e-10,1.6298145055770874e-09
39500.0,-8.149072527885437e-10,-1.1641532182693481e-10,-2.0954757928848267e-09,-1.280568540096283e-09,3.4924596548080444e-10
40000.0,1.076841726899147e-09,-4.656612873077393e-10,1.0477378964424133e-09,-5.820766091346741e-10,-8.731149137020111e-10
40500.0,7.057678885757923e-10,-8.149072527885437e-10,-3.026798367500305e-09,1.7462298274040222e-09,-2.6193447411060333e-10
41000.0,-6.984919309616089e-10,-6.111804395914078e-10,-2.2118911147117615e-09,-2.3283064365386963e-10,-4.656612873077393e-10
41500.0,-8.149072527885437e-10,-9.313225746154785e-10,-1.8044374883174896e-09,1.3969838619232178e-09,1.1641532182693481e-09
42000.0,1.3096723705530167e-10,-1.3969838619232178e-09,-1.1059455573558807e-09,-5.238689482212067e-10,-1.0186340659856796e-09
42500.0,-3.4924596548080444e-10,-2.0954757928848267e-09,,-9.313225746154785e-10,5.820766091346741e-10
43000.0,-4.94765117764473e-10,6.984919309616089e-10,-2.3283064365386963e-10,3.4924596548080444e-10,2.9103830456733704e-11
43500.0,-1.4551915228366852e-11,2.9103830456733704e-10,-1.4842953532934189e-09,-1.6880221664905548e-09,-1.3969838619232178e-09
44000.0,3.055902197957039e-10,6.693881005048752e-10,1.5133991837501526e-09,-1.0477378964424133e-09,9.313225746154785e-10
44500.0,3.4924596548080444e-10,1.469743438065052e-09,2.0954757928848267e-09,1.862645149230957e-09,-4.511093720793724e-10
45000.0,8.731149137020111e-10,4.656612873077393e-10,-3.725290298461914e-09,1.3969838619232178e-09,2.2264430299401283e-09
45500.0,9.313225746154785e-10,-1.5133991837501526e-09,2.2118911147117615e-09,7.566995918750763e-10,1.0477378964424133e-09
46000.0,-1.0477378964424133e-09,4.656612873077393e-10,-4.0745362639427185e-10,,5.820766091346741e-10
46500.0,6.039044819772243e-10,-3.4924596548080444e-10,3.3760443329811096e-09,1.1641532182693481e-10,-8.731149137020111e-10
47000.0,-1.8917489796876907e-10,6.984919309616089e-10,1.1641532182693481e-09,-4.0745362639427185e-10,-6.984919309616089e-10
47500.0,-4.656612873077393e-10,-9.313225746154785e-10,,1.1641532182693481e-09,6.984919309616089e-10
48000.0,4.656612873077393e-10,1.1641532182693481e-09,6.984919309616089e-10,-2.6775524020195007e-09,1.862645149230957e-09
48500.0,-3.4924596548080444e-10,1.6298145055770874e-09,1.1641532182693481e-10,2.2118911147117615e-09,-1.2223608791828156e-09
49000.0,5.820766091346741e-10,-4.94765117764473e-10,6.402842700481415e-10,1.7462298274040222e-09,2.3283064365386963e-10
49500.0,-3.4924596548080444e-10,2.6193447411060333e-10,4.656612873077393e-10,4.656612873077393e-10,5.238689482212067e-10
