frames,no_epsilon_rnd,no_epsilon_z,local,normal,simple
500.0,14.5348961353302,14.505290746688843,18.73313808441162,14.721542119979858,14.092848539352417
1000.0,21.439395904541016,21.661289930343628,25.473639965057373,21.515540838241577,20.5993492603302
1500.0,27.990394353866577,28.46028971672058,31.88713812828064,28.00104284286499,26.886847734451294
2000.0,34.5513973236084,35.090792655944824,38.24063777923584,34.46254205703735,33.59034776687622
2500.0,41.17389392852783,44.25429153442383,44.58063769340515,41.21404314041138,40.23935031890869
3000.0,47.68439531326294,51.02079129219055,50.98463773727417,48.16404414176941,46.3908486366272
3500.0,54.04789590835571,57.51679229736328,57.36263823509216,54.82304334640503,52.58035397529602
4000.0,60.42989373207092,63.97828984260559,63.79913854598999,61.178542375564575,58.75934839248657
4500.0,66.77489376068115,70.43479228019714,70.2896375656128,67.46704030036926,65.01684808731079
5000.0,73.11689305305481,76.88229179382324,76.45963978767395,73.71304035186768,71.21584820747375
5500.0,80.77889657020569,84.62829208374023,83.80967092514038,81.33654046058655,78.47385025024414
6000.0,87.67789649963379,91.08129000663757,89.9801378250122,87.64654064178467,84.63535070419312
6500.0,94.38389468193054,97.43229174613953,96.1751389503479,94.0965404510498,90.77334928512573
7000.0,102.04789638519287,103.86179113388062,102.43664002418518,100.61754035949707,97.45835161209106
7500.0,109.41939544677734,110.30729269981384,108.66363835334778,106.8930401802063,104.3433473110199
8000.0,116.66239428520203,116.66779065132141,114.85963773727417,113.1420407295227,110.89984726905823
8500.0,126.71639561653137,123.21079063415527,120.99563837051392,119.39354205131531,117.31984949111938
9000.0,134.86089491844177,129.6822910308838,127.24214005470276,125.66004037857056,123.86684823036194
9500.0,141.56539702415466,136.15279126167297,133.62363839149475,131.94004225730896,130.38884830474854
10000.0,149.05539441108704,142.61028933525085,139.90663814544678,138.21254229545593,136.87434768676758
10500.0,157.54994559288025,150.7702920436859,147.30013847351074,145.706041097641,144.54535031318665
11000.0,165.04739594459534,157.2722909450531,153.49813771247864,152.0045404434204,150.80334854125977
11500.0,171.68189430236816,163.73629140853882,159.72563862800598,158.30404448509216,157.46585059165955
12000.0,178.49789309501648,170.09029150009155,165.8166377544403,164.7730405330658,163.83384895324707
12500.0,185.17439603805542,176.42779159545898,172.07363772392273,171.06354069709778,170.93335032463074
13000.0,191.82589602470398,182.81178998947144,178.244637966156,177.61154413223267,177.507408618927
13500.0,198.6548957824707,189.13879346847534,184.49063777923584,183.97854018211365,184.0468475818634
14000.0,205.41189408302307,195.53529238700867,190.6896378993988,190.21857047080994,190.73234844207764
14500.0,212.08689522743225,201.90378975868225,196.98013854026794,196.45054030418396,197.14235019683838
15000.0,218.61389446258545,208.32478976249695,203.28563785552979,202.66554284095764,203.78584933280945
15500.0,226.56189465522766,216.02579045295715,210.71963787078857,210.0765414237976,211.42585039138794
16000.0,232.93239760398865,222.35829067230225,216.92263793945312,216.38104343414307,217.94784879684448
16500.0,239.74239468574524,228.81829166412354,223.08213782310486,223.11854076385498,224.45284867286682
17000.0,246.0733962059021,236.60779070854187,229.23263812065125,229.62204027175903,231.03634929656982
17500.0,252.64439487457275,244.4747920036316,235.51163792610168,235.90854406356812,237.61300706863403
18000.0,259.45289516448975,252.3812906742096,241.6916377544403,242.29104018211365,244.10534739494324
18500.0,265.8053958415985,258.9172909259796,247.90763783454895,248.55604076385498,251.0933518409729
19000.0,272.63139390945435,266.0752954483032,254.0796377658844,254.9295403957367,258.38385128974915
19500.0,279.34739542007446,273.6857907772064,260.39913845062256,261.22404050827026,265.0953505039215
20000.0,287.56589698791504,281.55679416656494,266.71114015579224,267.5315420627594,271.51385021209717
20500.0,296.42839336395264,290.5922920703888,274.0446403026581,275.33454036712646,279.1318476200104
