frames,no_epsilon_rnd,no_epsilon_z,local,normal,simple
500.0,1705264647.011372,1705190064.9866238,1704820485.052072,1704496763.403553,1704419850.9392204
1000.0,1705264653.9158719,1705190072.142623,1704820491.792574,1704496770.1975517,1704419857.4457211
1500.0,1705264660.4668703,1705190078.9416227,1704820498.206072,1704496776.6830537,1704419863.7332196
2000.0,1705264667.0278733,1705190085.5721257,1704820504.5595717,1704496783.144553,1704419870.4367197
2500.0,1705264673.65037,1705190094.7356246,1704820510.8995717,1704496789.896054,1704419877.0857222
3000.0,1705264680.1608713,1705190101.5021243,1704820517.3035717,1704496796.846055,1704419883.2372205
3500.0,1705264686.5243719,1705190107.9981253,1704820523.6815722,1704496803.5050542,1704419889.4267259
4000.0,1705264692.9063697,1705190114.4596229,1704820530.1180725,1704496809.8605533,1704419895.6057203
4500.0,1705264699.2513697,1705190120.9161253,1704820536.6085715,1704496816.1490512,1704419901.86322
5000.0,1705264705.593369,1705190127.3636248,1704820542.7785738,1704496822.3950512,1704419908.06222
5500.0,1705264713.2553725,1705190135.109625,1704820550.128605,1704496830.0185513,1704419915.3202221
6000.0,1705264720.1543725,1705190141.562623,1704820556.2990718,1704496836.3285515,1704419921.4817226
6500.0,1705264726.8603706,1705190147.9136248,1704820562.494073,1704496842.7785513,1704419927.6197212
7000.0,1705264734.5243723,1705190154.3431242,1704820568.755574,1704496849.2995512,1704419934.3047235
7500.0,1705264741.8958714,1705190160.7886257,1704820574.9825723,1704496855.575051,1704419941.1897192
8000.0,1705264749.1388702,1705190167.1491237,1704820581.1785717,1704496861.8240516,1704419947.7462192
8500.0,1705264759.1928716,1705190173.6921237,1704820587.3145723,1704496868.075553,1704419954.1662214
9000.0,1705264767.3373709,1705190180.163624,1704820593.561074,1704496874.3420513,1704419960.7132201
9500.0,1705264774.041873,1705190186.6341243,1704820599.9425724,1704496880.6220531,1704419967.2352202
10000.0,1705264781.5318704,1705190193.0916224,1704820606.225572,1704496886.8945532,1704419973.7207196
10500.0,1705264790.0264215,1705190201.251625,1704820613.6190724,1704496894.388052,1704419981.3917222
11000.0,1705264797.523872,1705190207.753624,1704820619.8170717,1704496900.6865513,1704419987.6497204
11500.0,1705264804.1583703,1705190214.2176244,1704820626.0445726,1704496906.9860554,1704419994.3122225
12000.0,1705264810.974369,1705190220.5716245,1704820632.1355717,1704496913.4550514,1704420000.6802208
12500.0,1705264817.650872,1705190226.9091246,1704820638.3925717,1704496919.7455516,1704420007.7797222
13000.0,1705264824.302372,1705190233.293123,1704820644.563572,1704496926.293555,1704420014.3537805
13500.0,1705264831.1313717,1705190239.6201265,1704820650.8095717,1704496932.660551,1704420020.8932195
14000.0,1705264837.88837,1705190246.0166254,1704820657.0085719,1704496938.9005814,1704420027.5787203
14500.0,1705264844.5633712,1705190252.3851228,1704820663.2990725,1704496945.1325512,1704420033.988722
15000.0,1705264851.0903704,1705190258.8061228,1704820669.6045718,1704496951.3475537,1704420040.6322212
15500.0,1705264859.0383706,1705190266.5071235,1704820677.0385718,1704496958.7585523,1704420048.2722223
16000.0,1705264865.4088736,1705190272.8396237,1704820683.241572,1704496965.0630543,1704420054.7942207
16500.0,1705264872.2188706,1705190279.2996247,1704820689.4010718,1704496971.8005517,1704420061.2992206
17000.0,1705264878.5498722,1705190287.0891237,1704820695.551572,1704496978.3040512,1704420067.8827212
17500.0,1705264885.1208708,1705190294.956125,1704820701.830572,1704496984.590555,1704420074.459379
18000.0,1705264891.929371,1705190302.8626237,1704820708.0105717,1704496990.973051,1704420080.9517193
18500.0,1705264898.2818718,1705190309.398624,1704820714.2265718,1704496997.2380517,1704420087.9397237
19000.0,1705264905.1078699,1705190316.5566285,1704820720.3985717,1704497003.6115513,1704420095.2302232
19500.0,1705264911.8238714,1705190324.1671238,1704820726.7180724,1704497009.9060514,1704420101.9417224
20000.0,1705264920.042373,1705190332.0381272,1704820733.0300741,1704497016.213553,1704420108.360222
20500.0,1705264928.9048693,1705190341.073625,1704820740.3635743,1704497024.0165513,1704420115.9782195
21000.0,1705264935.8848715,1705190349.2361245,1704820746.5555723,1704497030.2915525,1704420122.26872
21500.0,1705264942.5878701,1705190357.2726247,1704820752.7455719,1704497036.584054,1704420128.8782222
22000.0,1705264949.3778706,1705190364.952123,1704820758.9925754,1704497043.063051,1704420135.2922223
22500.0,1705264955.97287,1705190373.0591233,1704820765.1740725,1704497049.3715515,1704420141.8287215
23000.0,1705264962.724869,1705190380.638626,1704820771.2695718,1704497055.6385512,1704420148.082222
23500.0,1705264969.5318706,1705190387.729625,1704820777.4740717,1704497061.925052,1704420154.3862202
