frames,no_epsilon_rnd,no_epsilon_z,local,normal,simple
500.0,1,1,2,0,2
1000.0,1,1,2,3,2
1500.0,1,1,0,1,0
2000.0,1,1,0,2,0
2500.0,0,1,0,2,1
3000.0,1,1,0,3,0
3500.0,0,0,0,2,0
4000.0,1,1,0,2,0
4500.0,1,1,2,2,0
5000.0,1,1,2,2,2
5500.0,1,0,0,1,2
6000.0,1,1,1,2,2
6500.0,1,1,2,1,0
7000.0,0,1,0,1,0
7500.0,0,1,2,1,0
8000.0,0,1,2,1,0
8500.0,1,0,1,1,0
9000.0,0,0,0,1,0
9500.0,0,0,0,1,0
10000.0,0,1,0,1,1
10500.0,0,0,0,1,1
11000.0,1,0,0,0,2
11500.0,0,0,0,3,0
12000.0,0,0,2,1,0
12500.0,0,0,3,0,0
13000.0,0,0,0,0,3
13500.0,1,0,0,0,0
14000.0,0,0,0,0,0
14500.0,0,0,0,0,0
15000.0,0,0,0,2,0
15500.0,1,0,0,0,0
16000.0,0,0,0,1,0
16500.0,1,1,2,1,0
17000.0,1,1,0,1,0
17500.0,1,0,3,2,0
18000.0,0,0,0,1,1
18500.0,1,0,1,1,0
19000.0,1,2,2,0,0
19500.0,0,0,0,2,0
20000.0,0,0,2,3,3
20500.0,0,1,2,1,0
21000.0,0,0,0,0,1
21500.0,0,0,2,1,0
22000.0,0,0,0,3,2
22500.0,0,0,1,0,2
23000.0,0,1,0,2,3
23500.0,1,1,1,0,1
24000.0,0,0,0,0,2
24500.0,1,0,1,0,0
25000.0,0,1,2,0,2
25500.0,0,1,2,1,0
26000.0,0,1,0,0,0
26500.0,1,0,0,0,1
27000.0,0,1,2,0,0
27500.0,0,1,0,0,2
28000.0,0,0,2,1,0
28500.0,0,0,0,1,0
29000.0,1,1,0,1,0
29500.0,0,1,0,0,0
30000.0,0,2,3,1,2
30500.0,0,0,0,0,2
31000.0,0,0,2,1,0
31500.0,0,0,2,2,0
32000.0,0,0,0,0,1
32500.0,0,0,2,0,0
33000.0,0,0,0,1,0
33500.0,1,1,0,3,0
34000.0,0,0,3,0,0
