frames,no_epsilon_rnd,no_epsilon_z,local,normal,simple
500.0,17,18,22,18,17
1000.0,24,25,29,25,23
1500.0,31,32,35,32,30
2000.0,37,38,41,38,36
2500.0,44,47,48,45,43
3000.0,51,54,54,52,49
3500.0,57,61,60,58,55
4000.0,63,67,67,65,61
4500.0,70,74,73,71,68
5000.0,76,80,80,77,74
5500.0,84,88,87,85,81
6000.0,91,94,93,91,87
6500.0,97,101,99,98,94
7000.0,105,107,106,104,100
7500.0,112,113,112,111,107
8000.0,120,120,118,117,114
8500.0,130,126,124,123,120
9000.0,138,133,130,129,127
9500.0,144,139,137,136,133
10000.0,152,146,143,142,140
10500.0,160,154,150,149,147
11000.0,168,160,157,156,154
11500.0,175,167,163,162,160
12000.0,181,173,169,168,167
12500.0,188,180,175,175,174
13000.0,195,186,181,181,180
13500.0,202,192,188,188,187
14000.0,208,199,194,194,193
14500.0,215,205,200,200,200
15000.0,222,212,206,206,207
15500.0,229,219,214,214,214
16000.0,236,226,220,220,221
16500.0,243,232,226,227,227
17000.0,249,240,232,233,234
17500.0,256,248,239,240,240
18000.0,262,256,245,246,247
18500.0,269,262,251,252,254
19000.0,276,269,257,259,261
19500.0,282,277,264,265,268
20000.0,290,285,270,271,274
20500.0,299,294,277,279,282
21000.0,306,302,283,285,288
21500.0,313,310,290,292,295
22000.0,320,318,296,298,301
22500.0,326,326,302,304,308
23000.0,333,333,308,311,314
23500.0,340,340,314,317,320
24000.0,347,348,321,323,327
24500.0,353,355,327,329,333
25000.0,360,363,333,336,339
25500.0,368,373,341,343,346
26000.0,374,381,347,349,353
26500.0,381,388,353,356,359
27000.0,388,394,359,362,365
27500.0,394,401,366,368,372
28000.0,401,408,372,375,378
28500.0,408,415,378,381,384
29000.0,416,422,384,387,390
29500.0,423,429,390,393,396
30000.0,429,437,396,399,403
30500.0,437,446,404,407,411
31000.0,443,453,410,413,417
31500.0,450,462,416,420,424
32000.0,456,469,423,426,430
32500.0,463,476,429,432,436
33000.0,470,484,435,438,443
33500.0,476,492,441,445,449
34000.0,483,500,447,452,456
34500.0,489,508,454,458,463
35000.0,496,515,460,465,469
35500.0,503,524,467,472,477
36000.0,510,531,474,479,483
36500.0,516,538,480,485,490
37000.0,523,546,486,491,496
37500.0,529,553,492,498,503
38000.0,536,560,498,504,509
38500.0,543,567,505,511,516
39000.0,550,575,511,517,522
39500.0,556,582,517,523,528
40000.0,562,589,523,530,535
40500.0,570,598,531,537,542
41000.0,576,606,537,543,549
41500.0,583,613,543,550,555
42000.0,589,620,549,556,562
