frames,no_epsilon_rnd,no_epsilon_z,local,normal,simple
500.0,5,5,6,5,5
1000.0,10,11,12,10,14
1500.0,16,16,17,15,21
2000.0,21,21,22,20,27
2500.0,27,26,30,25,36
3000.0,33,31,38,30,42
3500.0,40,36,46,35,51
4000.0,45,41,52,42,57
4500.0,52,46,59,47,63
5000.0,57,51,66,55,69
5500.0,66,57,75,62,74
6000.0,73,62,80,69,82
6500.0,80,67,87,76,90
7000.0,88,76,95,84,97
7500.0,94,81,101,89,104
8000.0,104,87,109,94,110
8500.0,113,93,116,99,118
9000.0,120,98,125,104,125
9500.0,128,104,133,110,133
10000.0,133,111,144,117,140
10500.0,140,118,150,122,148
11000.0,147,126,156,129,154
11500.0,153,133,163,135,161
12000.0,159,140,171,142,169
12500.0,167,150,178,147,176
13000.0,176,158,184,152,182
13500.0,182,166,191,158,188
14000.0,190,172,197,164,196
14500.0,195,178,202,172,203
15000.0,202,185,210,179,209
15500.0,209,193,217,185,214
16000.0,216,198,225,190,221
16500.0,222,206,232,195,227
17000.0,229,212,239,200,233
17500.0,237,218,245,205,240
18000.0,242,226,251,211,246
18500.0,249,233,257,216,252
19000.0,256,240,266,223,258
19500.0,261,247,273,230,264
20000.0,268,253,279,237,270
20500.0,275,260,288,243,276
21000.0,280,269,296,251,282
21500.0,287,276,302,258,290
22000.0,295,284,309,264,296
22500.0,301,291,316,270,301
23000.0,307,297,322,277,307
23500.0,313,305,329,283,313
24000.0,322,310,336,290,321
24500.0,329,317,345,295,328
25000.0,338,323,355,302,340
25500.0,345,329,363,307,346
26000.0,350,339,370,312,354
26500.0,358,347,376,318,364
27000.0,365,353,385,324,374
27500.0,370,359,390,330,381
28000.0,375,368,396,338,387
28500.0,382,374,402,345,394
29000.0,388,381,409,352,402
29500.0,393,386,415,360,408
30000.0,399,392,421,365,415
30500.0,405,397,427,373,421
31000.0,410,405,433,378,428
31500.0,419,412,441,384,435
32000.0,426,417,448,389,443
32500.0,435,422,455,394,450
33000.0,444,429,463,400,456
33500.0,450,437,469,406,464
34000.0,458,443,477,412,471
34500.0,463,449,483,418,480
35000.0,470,455,492,428,488
35500.0,479,460,498,435,493
36000.0,485,465,505,442,499
36500.0,494,473,513,450,508
37000.0,500,479,519,456,513
37500.0,507,484,527,463,519
38000.0,512,491,532,470,524
38500.0,517,498,539,479,532
39000.0,523,504,546,484,540
39500.0,528,512,553,491,546
40000.0,537,517,561,498,554
40500.0,543,524,568,505,564
41000.0,549,535,578,512,574
41500.0,556,542,586,520,581
42000.0,564,549,593,526,587
42500.0,570,556,606,534,593
43000.0,578,562,612,542,601
43500.0,584,568,619,552,608
44000.0,592,576,627,558,616
44500.0,598,583,634,565,623
45000.0,608,591,643,572,630
45500.0,614,599,648,580,638
46000.0,619,608,655,585,645
46500.0,624,615,666,592,651
47000.0,629,624,674,598,660
47500.0,634,633,682,607,667
48000.0,640,640,688,614,673
48500.0,648,648,696,620,679
49000.0,654,654,703,626,688
49500.0,663,666,709,633,694
50000.0,672,674,716,642,703
50500.0,679,680,724,650,709
51000.0,685,687,731,657,716
51500.0,691,697,738,666,723
52000.0,702,708,745,675,729
52500.0,709,717,750,683,739
53000.0,716,728,758,688,746
53500.0,724,734,767,696,751
54000.0,730,740,773,703,757
54500.0,740,748,781,710,766
55000.0,748,757,787,718,772
55500.0,755,762,794,728,778
56000.0,762,768,801,734,784
56500.0,768,775,809,739,791
57000.0,775,783,815,744,797
57500.0,782,791,823,752,802
58000.0,789,798,828,759,811
58500.0,797,803,836,767,822
59000.0,802,809,843,778,829
59500.0,809,814,851,785,838
60000.0,815,824,859,791,846
60500.0,823,836,866,797,855
61000.0,830,841,871,806,862
61500.0,836,848,877,814,869
62000.0,843,856,883,823,877
62500.0,853,861,888,828,885
63000.0,859,869,896,836,893
63500.0,866,875,903,843,900
64000.0,872,883,910,855,908
64500.0,880,890,918,861,914
65000.0,885,899,925,867,920
65500.0,891,906,931,875,927
66000.0,899,912,938,884,933
66500.0,904,918,943,890,943
67000.0,909,925,950,897,952
67500.0,918,931,959,905,961
68000.0,930,937,966,912,969
68500.0,936,948,973,918,974
69000.0,946,955,980,925,980
69500.0,954,964,985,931,987
70000.0,963,970,994,937,995
70500.0,968,976,1000,946,1002
71000.0,976,984,1007,956,1012
71500.0,982,993,1018,964,1022
72000.0,989,998,1025,972,1030
72500.0,994,1003,1033,978,1037
73000.0,1000,1010,1040,984,1043
73500.0,1009,1016,1045,992,1052
74000.0,1019,1021,1054,1000,1058
74500.0,1028,1030,1064,1006,1065
75000.0,1035,1035,1071,1013,1070
75500.0,1042,1044,1078,1018,1082
76000.0,1049,1053,1086,1025,1091
76500.0,1058,1059,1092,1032,1096
77000.0,1069,1067,1100,1037,1102
77500.0,1081,1073,1106,1044,1110
78000.0,1087,1082,1112,1053,1115
78500.0,1095,1088,1118,1060,1122
79000.0,1101,1095,1127,1070,1127
79500.0,1108,1102,1136,1077,1134
80000.0,1114,1108,1143,1084,1140
80500.0,1120,1113,1149,1091,1147
81000.0,1127,1120,1156,1100,1155
81500.0,1133,1128,1161,1107,1163
