frames,no_epsilon_rnd,no_epsilon_z,local,normal,simple
500.0,0.0,0.0,0.0,0.0,0.0
1000.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0
2000.0,0.0,0.0,0.0,0.0,0.0
2500.0,0.0,0.0,0.0,0.0,0.0
3000.0,0.0,0.0,0.0,0.0,0.0
3500.0,0.0,0.0,8.0875,0.0,0.0
4000.0,7.80625,0.0,8.03125,0.0,0.0
4500.0,0.0,0.0,0.0,0.0,0.0
5000.0,0.0,0.0,0.0,0.0,0.0
5500.0,0.0,0.0,0.0,9.8875,0.0
6000.0,9.775,0.0,0.0,0.0,0.0
6500.0,0.0,0.0,0.0,0.0,0.0
7000.0,0.0,0.0,0.0,9.775,0.0
7500.0,0.0,0.0,0.0,0.0,0.0
8000.0,9.353125,0.0,0.0,0.0,0.0
8500.0,0.0,0.0,0.0,0.0,0.0
9000.0,0.0,0.0,9.746875000000001,0.0,0.0
9500.0,0.0,0.0,9.549999999999999,0.0,9.071875
10000.0,0.0,0.0,0.0,0.0,0.0
10500.0,0.0,0.0,0.0,0.0,0.0
11000.0,9.071875,0.0,0.0,0.0,0.0
11500.0,0.0,8.36875,0.0,0.0,0.0
12000.0,0.0,8.959375000000001,0.0,0.0,0.0
12500.0,0.0,0.0,0.0,0.0,0.0
13000.0,0.0,0.0,9.71875,0.0,0.0
13500.0,0.0,0.0,0.0,0.0,0.0
14000.0,0.0,0.0,0.0,0.0,0.0
14500.0,0.0,0.0,0.0,0.0,9.015625
15000.0,8.565625,8.453125,9.240625,0.0,0.0
15500.0,0.0,0.0,0.0,0.0,0.0
16000.0,0.0,0.0,0.0,0.0,0.0
16500.0,0.0,0.0,0.0,0.0,0.0
17000.0,0.0,0.0,7.24375,0.0,0.0
17500.0,0.0,0.0,0.0,0.0,0.0
18000.0,0.0,0.0,0.0,0.0,0.0
18500.0,0.0,0.0,0.0,0.0,0.0
19000.0,0.0,9.071875,0.0,0.0,0.0
19500.0,0.0,0.0,0.0,0.0,0.0
20000.0,9.015625,0.0,7.721875000000001,9.549999999999999,0.0
20500.0,0.0,0.0,0.0,0.0,0.0
21000.0,0.0,0.0,0.0,0.0,0.0
21500.0,0.0,0.0,0.0,0.0,0.0
22000.0,0.0,0.0,9.690625,0.0,0.0
22500.0,0.0,0.0,0.0,0.0,0.0
23000.0,0.0,0.0,0.0,8.256250000000001,0.0
23500.0,0.0,9.409375,0.0,8.396875,0.0
24000.0,0.0,0.0,0.0,0.0,0.0
24500.0,0.0,0.0,9.690625,0.0,0.0
25000.0,0.0,0.0,8.846874999999999,0.0,7.778125
25500.0,9.549999999999999,0.0,0.0,0.0,0.0
26000.0,0.0,0.0,0.0,0.0,0.0
26500.0,0.0,0.0,0.0,0.0,9.128125
27000.0,0.0,0.0,0.0,0.0,0.0
27500.0,0.0,0.0,0.0,0.0,9.71875
28000.0,0.0,9.409375,0.0,0.0,0.0
28500.0,0.0,0.0,0.0,9.549999999999999,0.0
29000.0,0.0,0.0,0.0,0.0,0.0
29500.0,0.0,7.496875000000001,0.0,0.0,0.0
30000.0,0.0,8.509375,0.0,0.0,0.0
30500.0,0.0,0.0,0.0,0.0,0.0
31000.0,0.0,0.0,0.0,0.0,0.0
31500.0,0.0,0.0,8.3125,0.0,0.0
32000.0,0.0,0.0,0.0,0.0,0.0
32500.0,8.48125,0.0,0.0,0.0,0.0
33000.0,9.128125,0.0,0.0,0.0,0.0
33500.0,0.0,0.0,0.0,0.0,0.0
34000.0,0.0,0.0,0.0,0.0,0.0
34500.0,0.0,0.0,0.0,0.0,0.0
35000.0,0.0,0.0,0.0,0.0,0.0
35500.0,0.0,0.0,0.0,0.0,0.0
36000.0,0.0,0.0,0.0,0.0,8.621875
36500.0,0.0,0.0,9.83125,0.0,0.0
37000.0,7.215625,0.0,0.0,0.0,0.0
37500.0,0.0,0.0,0.0,0.0,0.0
38000.0,0.0,0.0,0.0,0.0,7.6937500000000005
38500.0,0.0,0.0,0.0,0.0,0.0
39000.0,0.0,0.0,0.0,0.0,0.0
39500.0,0.0,0.0,8.987499999999999,0.0,0.0
40000.0,0.0,0.0,0.0,9.803125,0.0
40500.0,0.0,0.0,0.0,0.0,0.0
41000.0,0.0,0.0,0.0,0.0,9.662500000000001
41500.0,0.0,0.0,0.0,7.834375,0.0
42000.0,0.0,0.0,0.0,0.0,0.0
42500.0,9.83125,0.0,0.0,9.60625,0.0
43000.0,0.0,0.0,0.0,0.0,0.0
43500.0,0.0,0.0,0.0,0.0,0.0
44000.0,7.975,0.0,0.0,0.0,9.8875
44500.0,0.0,0.0,9.71875,0.0,0.0
45000.0,0.0,9.8875,0.0,7.4125,9.8875
45500.0,0.0,9.71875,0.0,0.0,0.0
46000.0,0.0,0.0,0.0,0.0,0.0
46500.0,0.0,9.325,0.0,0.0,0.0
47000.0,0.0,0.0,0.0,0.0,0.0
47500.0,0.0,0.0,0.0,0.0,0.0
48000.0,7.3,8.5375,0.0,9.184375,0.0
48500.0,0.0,0.0,0.0,8.48125,0.0
49000.0,7.3843749999999995,0.0,0.0,0.0,0.0
49500.0,8.228124999999999,0.0,9.578125,0.0,0.0
50000.0,9.94375,0.0,0.0,0.0,8.48125
50500.0,0.0,0.0,9.71875,0.0,9.634374999999999
51000.0,0.0,0.0,0.0,0.0,8.509375
51500.0,0.0,0.0,0.0,0.0,0.0
52000.0,0.0,0.0,9.521875,0.0,0.0
52500.0,0.0,7.1875,0.0,0.0,9.690625
53000.0,0.0,0.0,7.75,0.0,9.8875
53500.0,0.0,0.0,0.0,0.0,0.0
54000.0,0.0,0.0,0.0,9.746875000000001,0.0
54500.0,0.0,0.0,8.396875,0.0,9.549999999999999
55000.0,0.0,0.0,0.0,0.0,0.0
55500.0,0.0,0.0,0.0,0.0,0.0
56000.0,0.0,0.0,0.0,0.0,0.0
56500.0,0.0,0.0,9.409375,0.0,0.0
57000.0,0.0,0.0,0.0,0.0,0.0
57500.0,0.0,0.0,0.0,9.15625,0.0
58000.0,0.0,0.0,0.0,0.0,0.0
58500.0,9.521875,0.0,0.0,0.0,0.0
59000.0,0.0,0.0,0.0,0.0,0.0
59500.0,9.71875,0.0,0.0,7.778125,0.0
60000.0,0.0,0.0,0.0,0.0,0.0
60500.0,0.0,0.0,0.0,0.0,0.0
61000.0,0.0,0.0,8.003125,0.0,0.0
61500.0,0.0,8.903125000000001,0.0,0.0,8.987499999999999
62000.0,0.0,0.0,0.0,0.0,0.0
62500.0,0.0,7.75,0.0,0.0,0.0
63000.0,0.0,0.0,0.0,0.0,9.353125
63500.0,9.746875000000001,0.0,0.0,0.0,0.0
64000.0,0.0,8.48125,9.26875,0.0,0.0
64500.0,0.0,0.0,9.240625,0.0,0.0
65000.0,0.0,0.0,0.0,0.0,0.0
65500.0,0.0,0.0,0.0,8.14375,0.0
66000.0,0.0,0.0,0.0,0.0,0.0
66500.0,0.0,0.0,0.0,0.0,0.0
67000.0,0.0,8.115625,0.0,0.0,9.971875
67500.0,0.0,0.0,0.0,0.0,0.0
68000.0,0.0,0.0,0.0,0.0,0.0
68500.0,0.0,0.0,0.0,0.0,0.0
69000.0,8.059375,0.0,8.453125,0.0,0.0
69500.0,0.0,0.0,0.0,0.0,9.94375
70000.0,9.775,0.0,0.0,9.26875,9.128125
70500.0,0.0,0.0,0.0,0.0,0.0
71000.0,0.0,0.0,0.0,0.0,0.0
71500.0,7.5531250000000005,8.59375,0.0,9.4375,0.0
72000.0,0.0,0.0,0.0,0.0,9.240625
72500.0,0.0,0.0,8.340625,0.0,8.846874999999999
73000.0,0.0,0.0,0.0,0.0,0.0
73500.0,0.0,0.0,7.581249999999999,0.0,0.0
74000.0,0.0,0.0,0.0,0.0,0.0
74500.0,0.0,0.0,9.971875,0.0,0.0
