frames,no_epsilon_z,no_epsilon_rnd,local,simple,normal
500.0,9.313225746154785e-10,1.6298145055770874e-09,1.7462298274040222e-10,-2.3865140974521637e-09,1.0186340659856796e-09
1000.0,-6.170012056827545e-09,-1.6298145055770874e-09,-6.984919309616089e-10,1.1641532182693481e-09,-2.9103830456733704e-09
1500.0,1.3969838619232178e-09,3.3760443329811096e-09,-2.3283064365386963e-09,-5.820766091346741e-10,2.0954757928848267e-09
2000.0,-9.313225746154785e-10,6.984919309616089e-10,-1.6298145055770874e-09,-2.2118911147117615e-09,-9.313225746154785e-10
2500.0,4.656612873077393e-10,-4.0745362639427185e-10,-4.656612873077393e-10,2.0081643015146255e-09,-6.984919309616089e-10
3000.0,-5.820766091346741e-10,6.984919309616089e-10,2.1827872842550278e-09,2.0954757928848267e-09,-1.979060471057892e-09
3500.0,2.3283064365386963e-09,-9.022187441587448e-10,-6.984919309616089e-10,-1.1641532182693481e-09,2.3865140974521637e-09
4000.0,-1.6298145055770874e-09,-6.984919309616089e-10,-6.05359673500061e-09,3.2014213502407074e-10,-9.313225746154785e-10
4500.0,1.3969838619232178e-09,5.820766091346741e-11,1.6880221664905548e-09,-2.0954757928848267e-09,5.820766091346741e-10
5000.0,1.5425030142068863e-09,-1.1641532182693481e-09,-4.656612873077393e-10,-4.889443516731262e-09,3.4924596548080444e-09
5500.0,1.3969838619232178e-09,5.529727786779404e-10,-2.7939677238464355e-09,5.296897143125534e-09,6.984919309616089e-10
6000.0,-1.1641532182693481e-09,1.1641532182693481e-09,-2.3283064365386963e-09,-4.656612873077393e-10,-1.280568540096283e-09
6500.0,2.2118911147117615e-09,-3.4924596548080444e-10,-1.979060471057892e-09,-3.3178366720676422e-09,-1.4551915228366852e-10
7000.0,-2.7939677238464355e-09,3.4924596548080444e-10,-9.313225746154785e-10,-2.0954757928848267e-09,1.3969838619232178e-09
7500.0,1.4551915228366852e-11,-2.3283064365386963e-10,-1.0477378964424133e-09,2.5029294192790985e-09,-1.5133991837501526e-09
8000.0,-8.149072527885437e-10,-2.3283064365386963e-10,-2.7939677238464355e-09,9.022187441587448e-10,3.026798367500305e-09
8500.0,-2.561137080192566e-09,-1.1641532182693481e-10,-4.190951585769653e-09,4.540197551250458e-09,-4.656612873077393e-10
9000.0,-3.026798367500305e-09,4.0745362639427185e-10,1.2223608791828156e-09,-5.122274160385132e-09,1.3969838619232178e-09
9500.0,-1.3969838619232178e-09,-1.775333657860756e-09,-2.3283064365386963e-10,-1.0710209608078003e-08,1.5133991837501526e-09
10000.0,-2.3283064365386963e-10,5.820766091346741e-10,-4.0745362639427185e-09,4.6566128730773926e-09,-9.313225746154785e-10
10500.0,1.1641532182693481e-10,4.656612873077393e-10,1.0477378964424133e-09,4.423782229423523e-09,-5.122274160385132e-09
11000.0,-5.820766091346741e-10,2.9103830456733704e-09,2.3283064365386963e-10,1.6298145055770874e-09,2.3865140974521637e-09
11500.0,3.259629011154175e-09,4.656612873077393e-10,-3.3760443329811096e-09,2.0954757928848267e-09,3.2014213502407074e-09
12000.0,1.1059455573558807e-09,2.3283064365386963e-10,1.1641532182693481e-10,4.773028194904327e-09,8.149072527885437e-10
12500.0,-3.812601789832115e-09,-6.402842700481415e-10,-3.958120942115784e-09,3.6088749766349792e-09,-5.9371814131736755e-09
13000.0,4.016328603029251e-09,4.220055416226387e-10,-2.3283064365386963e-09,-3.0850060284137726e-09,-1.3969838619232178e-09
13500.0,8.149072527885437e-10,-1.6298145055770874e-09,1.1641532182693481e-10,4.249159246683121e-09,-4.249159246683121e-09
14000.0,3.958120942115784e-09,1.6298145055770874e-09,-1.0477378964424133e-09,8.149072527885437e-10,-4.889443516731262e-09
14500.0,3.6670826375484467e-09,-1.6298145055770874e-09,1.862645149230957e-09,-3.958120942115784e-09,-8.149072527885437e-10
15000.0,-1.3969838619232178e-09,1.862645149230957e-09,-3.259629011154175e-09,-2.0954757928848267e-09,1.0477378964424133e-09
15500.0,9.313225746154785e-10,-6.752088665962219e-09,-1.7462298274040222e-09,-6.752088665962219e-09,6.344635039567947e-09
16000.0,-1.5133991837501526e-09,6.984919309616089e-09,6.984919309616089e-10,6.170012056827545e-09,7.799826562404633e-09
16500.0,4.656612873077393e-10,-2.3283064365386963e-09,5.820766091346741e-11,1.280568540096283e-09,2.3283064365386963e-10
17000.0,3.14321368932724e-09,3.725290298461914e-09,-1.1641532182693481e-10,-3.6088749766349792e-09,1.1641532182693481e-09
17500.0,-3.259629011154175e-09,-4.016328603029251e-09,-3.026798367500305e-09,2.561137080192566e-09,-6.752088665962219e-09
18000.0,-1.1641532182693481e-09,-8.731149137020111e-10,-6.05359673500061e-09,-2.7939677238464355e-09,-3.725290298461914e-09
18500.0,1.30385160446167e-08,4.307366907596588e-09,-3.259629011154175e-09,4.6566128730773926e-09,-4.656612873077393e-10
19000.0,1.280568540096283e-09,3.958120942115784e-09,-2.0954757928848267e-09,-2.3283064365386963e-10,-1.7462298274040222e-09
19500.0,-9.837094694375992e-09,2.7939677238464355e-09,9.89530235528946e-10,-2.561137080192566e-09,
20000.0,2.3283064365386963e-10,2.2118911147117615e-09,-1.0477378964424133e-09,-3.725290298461914e-09,
20500.0,1.0186340659856796e-09,-1.2223608791828156e-09,-4.0745362639427185e-09,-3.259629011154175e-09,1.8044374883174896e-09
21000.0,-1.2223608791828156e-09,-1.7462298274040222e-09,-1.57160684466362e-09,5.820766091346741e-10,3.4924596548080444e-10
21500.0,-2.9103830456733704e-09,-5.820766091346741e-10,-7.101334631443024e-09,-2.6775524020195007e-09,2.0954757928848267e-09
22000.0,3.3760443329811096e-09,-3.6088749766349792e-09,-9.313225746154785e-10,4.656612873077393e-10,-2.9103830456733704e-09
22500.0,1.57160684466362e-09,4.3655745685100555e-11,3.3760443329811096e-09,-1.1641532182693481e-09,5.005858838558197e-09
23000.0,6.984919309616089e-10,-2.0372681319713593e-09,1.3387762010097504e-09,-2.0372681319713593e-10,7.334165275096893e-09
23500.0,1.7462298274040222e-09,-1.7462298274040222e-10,3.026798367500305e-09,,3.841705620288849e-09
24000.0,3.14321368932724e-09,3.7834979593753815e-10,-9.313225746154785e-10,4.394678398966789e-09,-3.2887328416109085e-09
24500.0,-1.862645149230957e-09,1.1641532182693481e-09,3.259629011154175e-09,7.566995918750763e-10,3.026798367500305e-09
