frames,no_epsilon_z,no_epsilon_rnd,local,simple,normal
500.0,1705140562.4023018,1704976023.2480686,1704898200.4094837,1704643460.7239609,1704585249.3623967
1000.0,1705140568.9392993,1704976029.7815669,1704898206.9555416,1704643467.23496,1704585256.2848985
1500.0,1705140574.5322998,1704976035.8480663,1704898213.5504856,1704643473.590959,1704585262.3903968
2000.0,1705140580.0257988,1704976041.9385686,1704898220.3709848,1704643479.9389594,1704585268.334398
2500.0,1705140585.4962993,1704976047.7775688,1704898227.3229835,1704643486.1199605,1704585274.3913999
3000.0,1705140590.9327989,1704976053.6370692,1704898234.8099833,1704643492.2724595,1704585280.4133995
3500.0,1705140596.6317995,1704976059.4035661,1704898243.8999844,1704643498.4484618,1704585286.4029002
4000.0,1705140602.109299,1704976065.636568,1704898252.446984,1704643504.5849595,1704585292.3343968
4500.0,1705140607.5972989,1704976071.6290658,1704898259.5974844,1704643510.682962,1704585298.2808988
5000.0,1705140613.2038019,1704976077.7300673,1704898266.604485,1704643516.852959,1704585304.6963978
5500.0,1705140619.8522992,1704976084.6660683,1704898274.873483,1704643524.134961,1704585312.482399
6000.0,1705140625.467802,1704976090.3810666,1704898282.467985,1704643530.244961,1704585319.1923985
6500.0,1705140631.0238008,1704976096.126569,1704898289.7569828,1704643536.8709593,1704585325.5543966
7000.0,1705140636.5592988,1704976101.857566,1704898296.3984833,1704643543.2914615,1704585331.8348992
7500.0,1705140642.201801,1704976107.3920658,1704898303.9829838,1704643549.6249623,1704585338.0658972
8000.0,1705140647.7988005,1704976113.0065668,1704898310.842485,1704643556.1484613,1704585344.2093992
8500.0,1705140653.3992994,1704976118.7730658,1704898317.6994843,1704643562.6609619,1704585350.198897
9000.0,1705140659.0868025,1704976124.4310665,1704898324.797484,1704643568.9944594,1704585356.1853967
9500.0,1705140664.7518013,1704976130.0025659,1704898332.0424826,1704643575.11696,1704585362.0643969
10000.0,1705140670.3273003,1704976135.6420662,1704898338.6589837,1704643581.385462,1704585368.0173988
10500.0,1705140676.7798002,1704976142.530566,1704898348.0874856,1704643588.870962,1704585375.1993988
11000.0,1705140682.2917988,1704976148.3075662,1704898355.2329838,1704643594.8389602,1704585381.0978975
11500.0,1705140687.7967992,1704976153.9280674,1704898362.2814844,1704643600.962959,1704585387.1803992
12000.0,1705140693.3342988,1704976160.2190666,1704898368.9414825,1704643607.240461,1704585393.135397
12500.0,1705140699.1632993,1704976166.245066,1704898374.990484,1704643613.204959,1704585399.031397
13000.0,1705140704.840801,1704976171.9185681,1704898380.969483,1704643619.4704616,1704585404.9918976
13500.0,1705140710.3602993,1704976177.5185666,1704898386.9099844,1704643625.550959,1704585411.1923969
14000.0,1705140715.8617997,1704976183.070067,1704898392.9964848,1704643631.67196,1704585417.0183973
14500.0,1705140721.3513007,1704976188.8580685,1704898399.1169825,1704643637.8029597,1704585423.0528998
15000.0,1705140726.9752996,1704976194.7625694,1704898405.0874827,1704643643.8914611,1704585428.8663976
15500.0,1705140733.635801,1704976201.9140677,1704898411.9059827,1704643651.066961,1704585435.8233998
16000.0,1705140739.119799,1704976207.8115675,1704898417.9049845,1704643657.061461,1704585441.857397
16500.0,1705140744.5822997,1704976213.628567,1704898424.0284827,1704643663.1779594,1704585447.871398
17000.0,1705140750.124799,1704976219.742066,1704898430.3329833,1704643669.319959,1704585453.701897
17500.0,1705140755.6482997,1704976225.8080661,1704898437.4864826,1704643675.5309608,1704585459.4413967
18000.0,1705140761.1728013,1704976231.724566,1704898444.806485,1704643681.7354603,1704585465.14099
18500.0,1705140766.6787999,1704976237.2920663,1704898453.8119843,1704643687.699959,1704585471.6198993
19000.0,1705140772.166301,1704976243.6235676,1704898460.4009843,1704643693.7699614,1704585478.548397
19500.0,1705140777.6222992,1704976249.923566,1704898466.7179854,1704643699.7894623,1704585484.9778976
20000.0,1705140783.091799,1704976256.052068,1704898473.8934848,1704643705.7569594,1704585491.1583974
20500.0,1705140789.686299,1704976263.540566,1704898481.8104827,1704643713.0709596,1704585498.2063987
21000.0,1705140795.309302,1704976269.4915676,1704898488.2839854,1704643718.9509597,1704585504.085899
21500.0,1705140800.7093003,1704976275.5425658,1704898494.7239845,1704643725.0434592,1704585510.4654
22000.0,1705140806.1822991,1704976281.4589605,1704898501.4509828,1704643730.9944596,1704585516.9048994
22500.0,1705140811.581301,1704976287.4995682,1704898508.1970432,1704643737.530961,1704585522.842897
23000.0,1705140817.0332992,1704976293.6930668,1704898514.4399827,1704643743.4754615,1704585528.592397
23500.0,1705140822.519299,1704976299.5430667,1704898520.7889843,1704643749.3974614,1704585534.4173985
24000.0,1705140827.956801,1704976305.2435687,1704898527.1369846,1704643755.4804618,1704585540.818397
24500.0,1705140833.3873017,1704976311.3660662,1704898533.4554844,1704643761.3954613,1704585546.5308993
25000.0,1705140838.8202991,1704976317.243566,1704898539.9499826,1704643767.3404617,1704585552.197397
25500.0,1705140845.298301,1704976324.233069,1704898547.832484,1704643774.4149592,1704585559.050897
26000.0,1705140850.6737998,1704976330.3280659,1704898554.5209832,1704643780.4179614,1704585564.6973975
26500.0,1705140856.0703008,1704976336.2935665,1704898561.2764828,1704643786.3559604,1704585570.3828971
27000.0,1705140861.646299,1704976342.160068,1704898567.9584897,1704643792.209461,1704585576.0513973
27500.0,1705140867.1142988,1704976348.0960686,1704898574.8614845,1704643798.327959,1704585581.7228968
28000.0,1705140872.5817997,1704976354.1515682,1704898581.2649827,1704643804.4274611,1704585587.5428996
28500.0,1705140878.0308008,1704976360.4495661,1704898587.761483,1704643810.3244603,1704585593.3168967
29000.0,1705140883.409299,1704976366.3990672,1704898595.2514844,1704643816.3494596,1704585599.2628999
29500.0,1705140888.8067992,1704976372.283566,1704898602.7335122,1704643822.3379605,1704585605.251898
