frames,no_epsilon_z,no_epsilon_rnd,local,simple,normal
500.0,17,17,17,18,17.0
1000.0,24,23,24,24,24.0
1500.0,29,29,30,31,30.0
2000.0,35,35,37,37,36.0
2500.0,40,41,44,43,42.0
3000.0,46,47,52,49,48.0
3500.0,51,53,61,55,54.0
4000.0,57,59,69,62,60.0
4500.0,62,65,76,68,66.0
5000.0,68,71,83,74,72.0
5500.0,74,78,92,81,80.0
6000.0,80,84,99,87,87.0
6500.0,86,90,107,94,93.0
7000.0,91,95,113,100,99.0
7500.0,97,101,121,107,106.0
8000.0,102,107,128,113,112.0
8500.0,108,112,134,120,118.0
9000.0,114,118,142,126,124.0
9500.0,119,124,149,132,130.0
10000.0,125,129,155,138,136.0
10500.0,131,136,165,146,143.0
11000.0,137,142,172,152,149.0
11500.0,142,147,179,158,155.0
12000.0,148,154,186,164,161.0
12500.0,154,160,192,170,167.0
13000.0,159,165,198,176,172.0
13500.0,165,171,204,183,179.0
14000.0,170,177,210,189,185.0
14500.0,176,182,216,195,191.0
15000.0,182,188,222,201,196.0
15500.0,188,195,229,208,203.0
16000.0,194,201,235,214,209.0
16500.0,199,207,241,220,215.0
17000.0,205,213,247,226,221.0
17500.0,210,219,254,233,227.0
18000.0,216,225,262,239,233.0
18500.0,221,231,271,245,239.0
19000.0,227,237,277,251,246.0
19500.0,232,243,283,257,252.0
20000.0,238,250,291,263,259.0
20500.0,244,257,299,270,266.0
21000.0,250,263,305,276,272.0
21500.0,255,269,311,282,278.0
22000.0,261,275,318,288,284.0
22500.0,266,281,325,295,290.0
23000.0,272,287,331,300,296.0
23500.0,277,293,338,306,302.0
24000.0,283,299,344,313,308.0
24500.0,288,305,350,318,314.0
25000.0,293,311,357,324,320.0
25500.0,300,318,365,331,327.0
26000.0,305,324,371,337,332.0
26500.0,311,330,378,343,338.0
27000.0,316,336,385,349,344.0
27500.0,322,342,392,355,349.0
28000.0,327,348,398,361,355.0
28500.0,333,354,405,367,361.0
29000.0,338,360,412,373,367.0
29500.0,343,366,419,379,373.0
30000.0,349,372,427,385,379.0
30500.0,355,379,435,392,386.0
31000.0,361,384,442,398,392.0
31500.0,366,390,450,404,398.0
32000.0,372,396,458,411,404.0
32500.0,377,405,465,417,411.0
33000.0,383,410,473,423,417.0
33500.0,388,416,480,429,423.0
34000.0,394,422,488,435,429.0
34500.0,399,428,495,441,435.0
35000.0,405,434,502,447,441.0
35500.0,411,441,511,454,448.0
36000.0,416,447,519,460,454.0
36500.0,422,453,527,466,460.0
37000.0,427,458,534,472,466.0
37500.0,433,464,541,478,472.0
38000.0,438,470,549,484,478.0
38500.0,443,476,557,490,484.0
39000.0,449,481,564,496,490.0
39500.0,454,487,572,502,496.0
40000.0,460,493,579,508,501.0
40500.0,466,500,589,515,508.0
41000.0,472,506,596,521,514.0
41500.0,477,512,603,527,520.0
42000.0,483,518,610,533,527.0
42500.0,488,524,617,539,533.0
43000.0,493,530,624,545,539.0
43500.0,499,536,632,551,545.0
44000.0,504,542,639,558,551.0
44500.0,510,549,646,564,557.0
45000.0,515,556,654,570,563.0
45500.0,522,563,664,577,570.0
46000.0,527,570,671,583,576.0
46500.0,533,576,678,589,581.0
47000.0,538,582,685,595,587.0
47500.0,543,589,692,601,593.0
48000.0,549,595,699,607,599.0
48500.0,554,601,706,613,605.0
49000.0,560,607,713,619,610.0
49500.0,565,614,722,625,616.0
50000.0,570,620,729,631,622.0
50500.0,577,628,738,638,629.0
51000.0,582,634,745,644,635.0
51500.0,588,640,752,650,641.0
52000.0,593,647,759,656,647.0
52500.0,599,653,766,662,653.0
53000.0,604,659,774,668,659.0
