frames,no_epsilon_z,no_epsilon_rnd,local,simple,normal
500.0,143,128,138,142,73.0
1000.0,256,200,277,285,175.0
1500.0,377,265,414,430,264.0
2000.0,439,320,527,562,389.0
2500.0,587,387,658,683,523.0
3000.0,628,454,782,813,617.0
3500.0,670,512,923,934,731.0
4000.0,746,552,1024,1082,818.0
4500.0,813,586,1126,1221,925.0
5000.0,1008,603,1221,1367,1073.0
5500.0,1176,650,1323,1513,1269.0
6000.0,1439,690,1432,1645,1460.0
6500.0,1674,707,1517,1772,1638.0
7000.0,1916,751,1589,1899,1813.0
7500.0,2171,792,1666,2021,1949.0
8000.0,2454,835,1734,2158,2094.0
8500.0,2696,860,1806,2274,2241.0
9000.0,2956,900,1868,2382,2395.0
9500.0,3224,921,1952,2475,2509.0
10000.0,3508,940,2021,2535,2625.0
10500.0,3763,975,2082,2609,2738.0
11000.0,3973,1001,2146,2658,2834.0
11500.0,4183,1031,2186,2715,2921.0
12000.0,4359,1069,2241,2787,3024.0
12500.0,4499,1097,2306,2837,3117.0
13000.0,4685,1131,2339,2893,3186.0
13500.0,4834,1161,2380,2971,3260.0
14000.0,4959,1187,2428,3055,3311.0
14500.0,5103,1257,2477,3144,3364.0
15000.0,5224,1303,2499,3222,3403.0
15500.0,5354,1359,2529,3284,3434.0
16000.0,5483,1427,2569,3356,3458.0
16500.0,5570,1496,2598,3418,3476.0
17000.0,5668,1574,2612,3453,3503.0
17500.0,5722,1662,2637,3496,3536.0
18000.0,5790,1733,2654,3534,3571.0
18500.0,5844,1816,2682,3581,3596.0
19000.0,5906,1901,2704,3624,3634.0
19500.0,5968,1973,2722,3664,3673.0
20000.0,6042,2021,2743,3718,3706.0
20500.0,6104,2067,2761,3771,3759.0
21000.0,6159,2127,2784,3822,3785.0
21500.0,6219,2187,2805,3876,3816.0
22000.0,6292,2270,2819,3936,3838.0
22500.0,6335,2355,2836,3996,3864.0
23000.0,6380,2423,2854,4079,3884.0
23500.0,6402,2494,2875,4126,3914.0
24000.0,6428,2549,2906,4169,3949.0
24500.0,6473,2625,2929,4215,3999.0
25000.0,6494,2688,2955,4280,4051.0
25500.0,6531,2721,2980,4332,4089.0
26000.0,6560,2775,2995,4383,4105.0
26500.0,6579,2820,3027,4432,4145.0
27000.0,6601,2865,3050,4477,4189.0
27500.0,6638,2915,3066,4528,4229.0
28000.0,6670,2945,3084,4565,4255.0
28500.0,6711,2987,3100,4611,4276.0
29000.0,6727,3034,3125,4656,4303.0
29500.0,6750,3054,3140,4705,4358.0
30000.0,6777,3085,3166,4736,4403.0
30500.0,6816,3111,3183,4775,4439.0
31000.0,6837,3151,3198,4824,4467.0
31500.0,6864,3178,3224,4863,4498.0
32000.0,6886,3210,3241,4878,4543.0
32500.0,6942,3244,3255,4898,4572.0
33000.0,6963,3273,3272,4918,4619.0
33500.0,7006,3307,3289,4953,4657.0
34000.0,7025,3331,3303,4982,4700.0
34500.0,7040,3365,3317,5011,4731.0
35000.0,7068,3386,3332,5043,4771.0
35500.0,7099,3408,3352,5070,4819.0
36000.0,7126,3441,3366,5097,4851.0
36500.0,7163,3463,3382,5131,4898.0
37000.0,7184,3484,3393,5158,4939.0
37500.0,7207,3517,3418,5190,4992.0
38000.0,7243,3554,3435,5228,5040.0
38500.0,7263,3585,3458,5279,5069.0
39000.0,7282,3616,3474,5329,5099.0
39500.0,7298,3652,3491,5349,5135.0
40000.0,7322,3697,3506,5390,5190.0
40500.0,7339,3742,3522,5428,5237.0
41000.0,7363,3760,3540,5455,5256.0
41500.0,7394,3790,3549,5473,5282.0
42000.0,7412,3829,3565,5508,5306.0
42500.0,7438,3860,3583,5525,5327.0
43000.0,7456,3896,3598,5547,5340.0
43500.0,7471,3917,3606,5563,5375.0
44000.0,7495,3941,3625,5585,5389.0
44500.0,7514,3969,3641,5603,5400.0
45000.0,7532,4017,3657,5618,5411.0
45500.0,7546,4055,3675,5632,5427.0
46000.0,7563,4080,3699,5653,5449.0
46500.0,7577,4134,3716,5679,5468.0
47000.0,7597,4175,3729,5701,5487.0
47500.0,7612,4215,3742,5724,5502.0
48000.0,7639,4258,3753,5744,5517.0
48500.0,7652,4280,3775,5756,5528.0
49000.0,7681,4305,3793,5771,5540.0
49500.0,7693,4332,3813,5784,5559.0
50000.0,7707,4361,3825,5800,5574.0
50500.0,7727,4389,3844,5813,5592.0
51000.0,7744,4413,3859,5826,5613.0
51500.0,7761,4439,3877,5840,5629.0
52000.0,7779,4475,3891,5856,5639.0
52500.0,7804,4510,3905,5883,5659.0
53000.0,7824,4540,3921,5893,5674.0
53500.0,7840,4569,3930,5911,5693.0
54000.0,7858,4605,3940,5940,5707.0
54500.0,7872,4622,3955,5963,5722.0
55000.0,7891,4638,3969,5971,5734.0
55500.0,7912,4664,3980,5980,5749.0
56000.0,7933,4719,3995,5996,5763.0
56500.0,7957,4767,4007,6013,5774.0
57000.0,7974,4795,4019,6031,5788.0
57500.0,7990,4838,4032,6042,5800.0
58000.0,8004,4867,4048,6060,5814.0
58500.0,8026,4898,4055,6072,5838.0
59000.0,8049,4930,4075,6086,5856.0
59500.0,8062,4969,4102,6098,5866.0
60000.0,8072,5000,4117,6108,5890.0
60500.0,8080,5023,4129,6124,5907.0
61000.0,8091,5049,4142,6138,5921.0
61500.0,8104,5075,4165,6147,5933.0
62000.0,8116,5105,4178,6160,5951.0
62500.0,8125,5129,4191,6179,5967.0
63000.0,8135,5152,4209,6191,5980.0
63500.0,8142,5180,4221,6199,5990.0
64000.0,8154,5206,4239,6209,6012.0
64500.0,8164,5235,4253,6222,6021.0
65000.0,8173,5262,4267,6236,6037.0
65500.0,8191,5311,4277,6247,6054.0
66000.0,8212,5342,4284,6270,6077.0
66500.0,8221,5363,4301,6291,6088.0
67000.0,8232,5402,4316,6310,6107.0
67500.0,8239,5442,4329,6321,6125.0
68000.0,8249,5475,4338,6342,6144.0
68500.0,8261,5507,4352,6368,6159.0
69000.0,8269,5539,4367,6384,6174.0
69500.0,8287,5576,4380,6393,6189.0
70000.0,8295,5617,4395,6411,6215.0
70500.0,8307,5655,4409,6427,6231.0
71000.0,8328,5679,4422,6450,6247.0
71500.0,8351,5696,4448,6463,6265.0
72000.0,8369,5728,4461,6486,6290.0
72500.0,8387,5757,4482,6512,6329.0
73000.0,8404,5796,4500,6527,6364.0
73500.0,8415,5819,4524,6538,6399.0
74000.0,8431,5837,4543,6544,6421.0
74500.0,8455,5861,4555,6556,6448.0
75000.0,8467,5885,4568,6565,6478.0
75500.0,8480,5904,4581,6580,6512.0
76000.0,8497,5933,4594,6590,6535.0
76500.0,8510,5959,4613,6604,6551.0
77000.0,8524,5997,4623,6613,6580.0
77500.0,8551,6027,4631,6625,6602.0
78000.0,8564,6059,4650,6637,6611.0
78500.0,8573,6092,4664,6663,6638.0
79000.0,8590,6112,4689,6672,6654.0
79500.0,8604,6140,4707,6684,6681.0
80000.0,8615,6155,4719,6696,6703.0
80500.0,8635,6187,4735,6707,6728.0
81000.0,8643,6209,4742,6717,6754.0
81500.0,8651,6239,4749,6729,6768.0
82000.0,8657,6287,4760,6741,6781.0
82500.0,8671,6325,4773,6750,6809.0
83000.0,8685,6367,4788,6768,6831.0
83500.0,8698,6400,4806,6787,6845.0
84000.0,8719,6444,4820,6801,6865.0
84500.0,8734,6502,4843,6822,6891.0
85000.0,8745,6549,4853,6833,6918.0
85500.0,8758,6576,4871,6851,6931.0
86000.0,8772,6633,4890,6863,6958.0
86500.0,8782,6687,4908,6877,6974.0
87000.0,8800,6744,4921,6891,6995.0
87500.0,8812,6795,4936,6905,7020.0
88000.0,8824,6835,4956,6923,7039.0
88500.0,8848,6884,4975,6931,7068.0
89000.0,8865,6936,4993,6943,7087.0
89500.0,8875,6976,5006,6964,7109.0
90000.0,8890,7034,5016,6995,7126.0
90500.0,8919,7100,5029,7019,7150.0
91000.0,8938,7145,5053,7036,7165.0
