frames,no_epsilon_z,no_epsilon_rnd,local,simple,normal
500.0,NaN,NaN,0.08004956692457199,NaN,NaN
1000.0,0.00567249022424221,NaN,NaN,NaN,NaN
1500.0,NaN,NaN,NaN,0.0026098170783370733,0.039435334503650665
2000.0,NaN,NaN,0.11070618033409119,NaN,NaN
2500.0,0.14664031565189362,0.0018638207111507654,NaN,NaN,NaN
3000.0,0.077352877240628,0.07148914784193039,NaN,0.14589637517929077,0.0385727621614933
3500.0,0.046319710090756416,NaN,NaN,NaN,NaN
4000.0,NaN,NaN,0.10819406062364578,NaN,NaN
4500.0,NaN,0.0009645887766964734,NaN,NaN,0.14415580034255981
5000.0,NaN,NaN,NaN,NaN,NaN
5500.0,NaN,NaN,NaN,NaN,NaN
6000.0,NaN,0.019047570531256497,0.18111242353916168,NaN,NaN
6500.0,NaN,NaN,NaN,0.10919355601072311,NaN
7000.0,NaN,0.03618756029754877,0.03521067649126053,0.14339226484298706,NaN
7500.0,NaN,0.03659035265445709,NaN,NaN,NaN
8000.0,NaN,0.0007608634186908603,NaN,NaN,NaN
8500.0,NaN,NaN,0.06473077675327658,NaN,0.07265972346067429
9000.0,NaN,0.000943466555327177,NaN,NaN,NaN
9500.0,NaN,0.01456736116670072,NaN,NaN,0.001980970846489072
10000.0,NaN,0.03537729164236225,NaN,0.03831594934066137,NaN
10500.0,NaN,0.018122567533282563,0.054529689252376556,NaN,NaN
11000.0,NaN,0.000927113025682047,0.0716155104804784,NaN,NaN
11500.0,NaN,NaN,0.043744232738390565,0.10492528975009918,NaN
12000.0,NaN,0.012569565830441812,0.03705918916966766,NaN,NaN
12500.0,0.038621220737695694,NaN,NaN,0.07406380027532578,0.07296910136938095
13000.0,NaN,NaN,NaN,NaN,0.10606394708156586
13500.0,0.07588542997837067,0.022621096344664693,0.07222165167331696,NaN,0.07350357621908188
14000.0,NaN,0.03573400899767876,NaN,NaN,NaN
14500.0,NaN,NaN,NaN,NaN,NaN
15000.0,NaN,NaN,0.030035201460123062,0.03610832244157791,0.03711374136037193
15500.0,NaN,0.07213170826435089,0.054229413935293756,0.13969668745994568,0.04334618283901363
16000.0,NaN,0.06992916017770767,0.07083874754607677,NaN,NaN
16500.0,NaN,0.03666623309254646,0.07437494397163391,NaN,0.04685298024560325
17000.0,0.10869772732257843,NaN,0.07152953185141087,NaN,NaN
17500.0,0.108719039009884,NaN,0.03726275929948315,0.0011373059824109077,NaN
18000.0,NaN,0.018445004214299843,NaN,0.1090148463845253,NaN
18500.0,0.09748231619596481,0.000570056727156043,0.05076644362416118,0.03624784201383591,0.14362457394599915
19000.0,0.10955894738435745,NaN,0.004356143064796925,NaN,0.0009894712129607797
19500.0,0.11034725978970528,NaN,0.07238426432013512,0.001624596887268126,0.07006984204053879
20000.0,NaN,NaN,0.03575334697961807,NaN,0.0397803518892033
20500.0,NaN,NaN,NaN,NaN,0.04550686106085777
21000.0,0.06773677468299866,0.002158866496756673,0.03873194140448634,0.07357211410999298,0.09290025259057681
21500.0,0.04991386737674475,0.03437242656946182,0.11351798474788666,0.07058823853731155,NaN
22000.0,NaN,NaN,0.06340504171592849,0.07055823504924774,0.029206948954379187
22500.0,NaN,NaN,0.08864372223615646,0.0012079456355422735,NaN
23000.0,NaN,0.0006496768910437822,0.03323865392511444,NaN,0.07016594707965851
23500.0,0.10842198350001127,NaN,NaN,NaN,NaN
24000.0,NaN,0.0011933482019230723,NaN,0.03580209196079522,NaN
24500.0,NaN,NaN,0.03786139376461506,NaN,NaN
25000.0,NaN,0.03300968185067177,NaN,0.12689879164099693,NaN
25500.0,0.1067814938724041,0.036002969660330564,0.02785259681986645,NaN,0.018067389653879218
26000.0,0.059107430453877896,NaN,0.0656391829252243,0.1069851890206337,0.03228092563804239
26500.0,0.09047329425811768,NaN,0.019564398360671476,0.053645577281713486,NaN
27000.0,0.09434249888484676,0.03510647639632225,0.03739374130964279,NaN,NaN
27500.0,0.035877831280231476,0.03442177176475525,0.027628381542551022,0.03662483584290991,0.03549155592918396
28000.0,NaN,0.0022344713215716183,NaN,0.0009416957036592066,0.03512167930603027
28500.0,NaN,NaN,0.023854278423823417,0.03832414373755455,0.03750295378267765
29000.0,0.03641434758901596,NaN,NaN,0.13614684343338013,0.03668244766595308
29500.0,0.06358880084007978,0.03364497236907482,0.026100845735830564,NaN,0.06775827705860138
30000.0,0.12198604643344879,NaN,0.059174083561326064,0.10652143135666847,0.034142814576625824
30500.0,NaN,0.018683136207982898,0.026085188169963656,0.06955774873495102,NaN
31000.0,NaN,NaN,0.06581427901983261,NaN,0.03957630251243245
31500.0,NaN,0.001059842063114047,0.047431173482133694,NaN,NaN
32000.0,0.08473264500498771,0.04618150740861893,0.06309559692939122,0.022634620917961,0.018425762507831678
32500.0,NaN,0.04574958073984211,0.045998894687121115,0.01847166015068069,NaN
33000.0,0.07353542000055313,NaN,0.028274274780415,0.001323120455102374,NaN
33500.0,NaN,0.029892535880208015,0.03504704866403093,0.0009591939742676914,0.0015328081790357828
34000.0,NaN,0.03555851802229881,NaN,0.0723499283194542,0.031080605869647115
34500.0,NaN,0.00045926784514449537,NaN,NaN,0.05388532392680645
35000.0,NaN,NaN,0.025846061607201893,0.0015425537712872028,0.06292315193568357
35500.0,NaN,NaN,NaN,0.031719905219506475,0.0027920526918023825
36000.0,0.02490164781920612,NaN,0.0313694871874759,NaN,0.03560087829828262
36500.0,NaN,0.013405593443894758,NaN,0.07100681960582733,NaN
37000.0,NaN,0.04304869224627813,NaN,0.029096848517656326,0.03524475909459094
37500.0,NaN,0.017468344420194626,0.029870061832480133,0.06530500948429108,0.03754521638620645
38000.0,0.06639811396598816,NaN,0.01105016361301144,NaN,NaN
38500.0,NaN,0.037096355110406876,0.002212938852608204,NaN,0.06080119694039846
39000.0,0.07380916178226471,0.03565942433973154,0.032048155553638935,0.03923375532031059,NaN
39500.0,0.11684710532426834,NaN,0.07124537229537964,0.05203199368302843,NaN
40000.0,0.05727096444752533,NaN,NaN,NaN,0.03578026387185673
40500.0,0.004955893382430077,0.00100564060267061,NaN,NaN,NaN
41000.0,NaN,NaN,NaN,NaN,NaN
41500.0,0.051352448761463165,0.0012143098283559084,0.01611442501390619,NaN,0.06902691721916199
42000.0,NaN,0.001509806141257286,0.0009353569475933909,NaN,0.03601459356182853
42500.0,NaN,0.0464774581293265,NaN,0.037042174488306046,NaN
43000.0,NaN,0.0329551063477993,NaN,0.03506933629978448,0.05592468485701829
43500.0,NaN,0.0012511126697063446,0.0008175948751159012,0.047358647867804395,NaN
44000.0,0.0676458328962326,0.014618457749020309,0.05051609741058201,0.035693369805812836,NaN
